ranking_convergencia,nome_parceiro,municipio,local_votacao_parceiro,regiao_estimada,vereador,partido_vereador,votos_parceiro_local,votos_vereador_local,indice_convergencia,classificacao_convergencia,potencial_davi_10pct_local,potencial_davi_15pct_local,potencial_davi_20pct_local,acao_recomendada
25,Gabi Gonçalves,RIO LARGO,ESCOLA DE ENS FUND PROFESSORA EVANDA CARNEIRO DE VASCONCELOS,NÃO INFORMADO,JOSE CARLOS REIS DOS SANTOS FILHO,PP,595,119,44.71,CONVERGÊNCIA BAIXA,358,358,358,"Agendar articulação Davi + Gabi Gonçalves com o vereador JOSE CARLOS REIS DOS SANTOS FILHO no território do local de votação ESCOLA DE ENS FUND PROFESSORA EVANDA CARNEIRO DE VASCONCELOS. Objetivo: validar apoio, mapear lideranças locais e pactuar entrada territorial."
27,Gabi Gonçalves,RIO LARGO,ESCOLA ESTADUAL SANTOS DUMONT,MILITAR,CARLOS HENRIQUE ROLIM VASCONCELOS,PP,507,191,44.41,CONVERGÊNCIA BAIXA,350,350,350,"Agendar articulação Davi + Gabi Gonçalves com o vereador CARLOS HENRIQUE ROLIM VASCONCELOS no território do local de votação ESCOLA ESTADUAL SANTOS DUMONT. Objetivo: validar apoio, mapear lideranças locais e pactuar entrada territorial."
26,Gabi Gonçalves,RIO LARGO,ESCOLA DE ENS FUND PROFESSORA EVANDA CARNEIRO DE VASCONCELOS,NÃO INFORMADO,MÁRCIO SOARES CAVALCANTE,PP,595,107,43.87,CONVERGÊNCIA BAIXA,352,352,352,"Agendar articulação Davi + Gabi Gonçalves com o vereador MÁRCIO SOARES CAVALCANTE no território do local de votação ESCOLA DE ENS FUND PROFESSORA EVANDA CARNEIRO DE VASCONCELOS. Objetivo: validar apoio, mapear lideranças locais e pactuar entrada territorial."
28,Gabi Gonçalves,RIO LARGO,COMPLEXO ESTADUAL PROFA CLAUDIZETE LIMA ELEUTERIO,NÃO INFORMADO,ALINE BIANA CAVALCANTE,UNIÃO,590,106,43.45,CONVERGÊNCIA BAIXA,348,348,348,"Agendar articulação Davi + Gabi Gonçalves com o vereador ALINE BIANA CAVALCANTE no território do local de votação COMPLEXO ESTADUAL PROFA CLAUDIZETE LIMA ELEUTERIO. Objetivo: validar apoio, mapear lideranças locais e pactuar entrada territorial."
29,Gabi Gonçalves,RIO LARGO,COMPLEXO ESTADUAL PROFA CLAUDIZETE LIMA ELEUTERIO,NÃO INFORMADO,CAMILLY CABRAL CORREIA ALVES DE OLIVEIRA,PDT,590,105,43.36,CONVERGÊNCIA BAIXA,347,347,347,"Agendar articulação Davi + Gabi Gonçalves com o vereador CAMILLY CABRAL CORREIA ALVES DE OLIVEIRA no território do local de votação COMPLEXO ESTADUAL PROFA CLAUDIZETE LIMA ELEUTERIO. Objetivo: validar apoio, mapear lideranças locais e pactuar entrada territorial."
30,Gabi Gonçalves,RIO LARGO,COMPLEXO ESTADUAL PROFA CLAUDIZETE LIMA ELEUTERIO,NÃO INFORMADO,RAFAEL RUDSON FEITOSA PINTO,PP,590,101,43.07,CONVERGÊNCIA BAIXA,345,345,345,"Agendar articulação Davi + Gabi Gonçalves com o vereador RAFAEL RUDSON FEITOSA PINTO no território do local de votação COMPLEXO ESTADUAL PROFA CLAUDIZETE LIMA ELEUTERIO. Objetivo: validar apoio, mapear lideranças locais e pactuar entrada territorial."
31,Gabi Gonçalves,RIO LARGO,GRUPO ESCOLAR DE I E II GRAUS FERNANDINA MALTA,NÃO INFORMADO,MÁRCIO SOARES CAVALCANTE,PP,554,127,42.75,CONVERGÊNCIA BAIXA,341,341,341,"Agendar articulação Davi + Gabi Gonçalves com o vereador MÁRCIO SOARES CAVALCANTE no território do local de votação GRUPO ESCOLAR DE I E II GRAUS FERNANDINA MALTA. Objetivo: validar apoio, mapear lideranças locais e pactuar entrada territorial."
32,Gabi Gonçalves,RIO LARGO,COMPLEXO ESTADUAL PROFA CLAUDIZETE LIMA ELEUTERIO,NÃO INFORMADO,JEFFERSON ALEXANDRE CAVALCANTE,AVANTE,590,92,42.46,CONVERGÊNCIA BAIXA,341,341,341,"Agendar articulação Davi + Gabi Gonçalves com o vereador JEFFERSON ALEXANDRE CAVALCANTE no território do local de votação COMPLEXO ESTADUAL PROFA CLAUDIZETE LIMA ELEUTERIO. Objetivo: validar apoio, mapear lideranças locais e pactuar entrada territorial."
34,Gabi Gonçalves,RIO LARGO,GRUPO ESCOLAR DE I E II GRAUS FERNANDINA MALTA,NÃO INFORMADO,IZAQUE PEREIRA SILVA,AVANTE,554,120,42.24,CONVERGÊNCIA BAIXA,337,337,337,"Agendar articulação Davi + Gabi Gonçalves com o vereador IZAQUE PEREIRA SILVA no território do local de votação GRUPO ESCOLAR DE I E II GRAUS FERNANDINA MALTA. Objetivo: validar apoio, mapear lideranças locais e pactuar entrada territorial."
37,Gabi Gonçalves,RIO LARGO,GRUPO ESCOLAR DE I E II GRAUS FERNANDINA MALTA,NÃO INFORMADO,JOSE CARLOS REIS DOS SANTOS FILHO,PP,554,117,42.01,CONVERGÊNCIA BAIXA,335,335,335,"Agendar articulação Davi + Gabi Gonçalves com o vereador JOSE CARLOS REIS DOS SANTOS FILHO no território do local de votação GRUPO ESCOLAR DE I E II GRAUS FERNANDINA MALTA. Objetivo: validar apoio, mapear lideranças locais e pactuar entrada territorial."
33,Gabi Gonçalves,RIO LARGO,ESCOLA DE ENS FUND PROFESSORA EVANDA CARNEIRO DE VASCONCELOS,NÃO INFORMADO,NADIELLE NAYARA DA COSTA LOPES,PP,595,79,41.9,CONVERGÊNCIA BAIXA,338,338,338,"Agendar articulação Davi + Gabi Gonçalves com o vereador NADIELLE NAYARA DA COSTA LOPES no território do local de votação ESCOLA DE ENS FUND PROFESSORA EVANDA CARNEIRO DE VASCONCELOS. Objetivo: validar apoio, mapear lideranças locais e pactuar entrada territorial."
35,Gabi Gonçalves,RIO LARGO,ESCOLA DE ENS FUND PROFESSORA EVANDA CARNEIRO DE VASCONCELOS,NÃO INFORMADO,EFRAIN VERÇOLINO DA SILVA,AVANTE,595,78,41.8,CONVERGÊNCIA BAIXA,337,337,337,"Agendar articulação Davi + Gabi Gonçalves com o vereador EFRAIN VERÇOLINO DA SILVA no território do local de votação ESCOLA DE ENS FUND PROFESSORA EVANDA CARNEIRO DE VASCONCELOS. Objetivo: validar apoio, mapear lideranças locais e pactuar entrada territorial."
36,Gabi Gonçalves,RIO LARGO,ESCOLA DE ENS FUND PROFESSORA EVANDA CARNEIRO DE VASCONCELOS,NÃO INFORMADO,LUZARDO DE ARAÚJO LISBOA NETO,PDT,595,77,41.71,CONVERGÊNCIA BAIXA,336,336,336,"Agendar articulação Davi + Gabi Gonçalves com o vereador LUZARDO DE ARAÚJO LISBOA NETO no território do local de votação ESCOLA DE ENS FUND PROFESSORA EVANDA CARNEIRO DE VASCONCELOS. Objetivo: validar apoio, mapear lideranças locais e pactuar entrada territorial."
45,Gabi Gonçalves,RIO LARGO,ESCOLA ESTADUAL SANTOS DUMONT,MILITAR,DOUGLAS HENRIQUE DE FRANÇA COSTA,UNIÃO,507,150,41.51,CONVERGÊNCIA BAIXA,329,329,329,"Agendar articulação Davi + Gabi Gonçalves com o vereador DOUGLAS HENRIQUE DE FRANÇA COSTA no território do local de votação ESCOLA ESTADUAL SANTOS DUMONT. Objetivo: validar apoio, mapear lideranças locais e pactuar entrada territorial."
38,Gabi Gonçalves,RIO LARGO,ESCOLA DE ENSINO FUND PROF ROSINEIDE TEREZA MARTINS DA CONCEIÇÃO,NÃO INFORMADO,IZAQUE PEREIRA SILVA,AVANTE,555,108,41.47,CONVERGÊNCIA BAIXA,332,332,332,"Agendar articulação Davi + Gabi Gonçalves com o vereador IZAQUE PEREIRA SILVA no território do local de votação ESCOLA DE ENSINO FUND PROF ROSINEIDE TEREZA MARTINS DA CONCEIÇÃO. Objetivo: validar apoio, mapear lideranças locais e pactuar entrada territorial."
