SQ_CANDIDATO,NR_VOTAVEL,NM_VOTAVEL,DS_CARGO,NM_MUNICIPIO,votos_total,secoes,locais_votacao,nome_alvo,tokens_busca,NM_VOTAVEL_NORMALIZADO
20001636056,11789,GABRIELA CRISTINA GONCALVES DA SILVA CORDEIRO,Deputado Estadual,SÃO JOSÉ DA LAJE,47,29,7,GABI GONCALVES,GABI | GONCALVES,GABRIELA CRISTINA GONCALVES DA SILVA CORDEIRO
20001636056,11789,GABRIELA CRISTINA GONCALVES DA SILVA CORDEIRO,Deputado Estadual,CAMPO ALEGRE,45,27,7,GABI GONCALVES,GABI | GONCALVES,GABRIELA CRISTINA GONCALVES DA SILVA CORDEIRO
20001636056,11789,GABRIELA CRISTINA GONCALVES DA SILVA CORDEIRO,Deputado Estadual,GIRAU DO PONCIANO,41,29,7,GABI GONCALVES,GABI | GONCALVES,GABRIELA CRISTINA GONCALVES DA SILVA CORDEIRO
20001636056,11789,GABRIELA CRISTINA GONCALVES DA SILVA CORDEIRO,Deputado Estadual,TRAIPU,37,21,7,GABI GONCALVES,GABI | GONCALVES,GABRIELA CRISTINA GONCALVES DA SILVA CORDEIRO
20001636056,11789,GABRIELA CRISTINA GONCALVES DA SILVA CORDEIRO,Deputado Estadual,PILAR,31,25,11,GABI GONCALVES,GABI | GONCALVES,GABRIELA CRISTINA GONCALVES DA SILVA CORDEIRO
20001636056,11789,GABRIELA CRISTINA GONCALVES DA SILVA CORDEIRO,Deputado Estadual,CAPELA,26,19,5,GABI GONCALVES,GABI | GONCALVES,GABRIELA CRISTINA GONCALVES DA SILVA CORDEIRO
20001636056,11789,GABRIELA CRISTINA GONCALVES DA SILVA CORDEIRO,Deputado Estadual,SANTANA DO MUNDAÚ,24,15,4,GABI GONCALVES,GABI | GONCALVES,GABRIELA CRISTINA GONCALVES DA SILVA CORDEIRO
20001636056,11789,GABRIELA CRISTINA GONCALVES DA SILVA CORDEIRO,Deputado Estadual,MINADOR DO NEGRÃO,23,12,3,GABI GONCALVES,GABI | GONCALVES,GABRIELA CRISTINA GONCALVES DA SILVA CORDEIRO
20001636056,11789,GABRIELA CRISTINA GONCALVES DA SILVA CORDEIRO,Deputado Estadual,IGREJA NOVA,22,17,6,GABI GONCALVES,GABI | GONCALVES,GABRIELA CRISTINA GONCALVES DA SILVA CORDEIRO
20001636056,11789,GABRIELA CRISTINA GONCALVES DA SILVA CORDEIRO,Deputado Estadual,QUEBRANGULO,21,15,5,GABI GONCALVES,GABI | GONCALVES,GABRIELA CRISTINA GONCALVES DA SILVA CORDEIRO
20001636056,11789,GABRIELA CRISTINA GONCALVES DA SILVA CORDEIRO,Deputado Estadual,SÃO MIGUEL DOS MILAGRES,20,13,5,GABI GONCALVES,GABI | GONCALVES,GABRIELA CRISTINA GONCALVES DA SILVA CORDEIRO
20001636056,11789,GABRIELA CRISTINA GONCALVES DA SILVA CORDEIRO,Deputado Estadual,BRANQUINHA,18,12,2,GABI GONCALVES,GABI | GONCALVES,GABRIELA CRISTINA GONCALVES DA SILVA CORDEIRO
20001636056,11789,GABRIELA CRISTINA GONCALVES DA SILVA CORDEIRO,Deputado Estadual,OLHO D ÁGUA DAS FLORES,17,14,6,GABI GONCALVES,GABI | GONCALVES,GABRIELA CRISTINA GONCALVES DA SILVA CORDEIRO
20001636056,11789,GABRIELA CRISTINA GONCALVES DA SILVA CORDEIRO,Deputado Estadual,PARIPUEIRA,17,12,4,GABI GONCALVES,GABI | GONCALVES,GABRIELA CRISTINA GONCALVES DA SILVA CORDEIRO
20001636056,11789,GABRIELA CRISTINA GONCALVES DA SILVA CORDEIRO,Deputado Estadual,CORURIPE,16,16,7,GABI GONCALVES,GABI | GONCALVES,GABRIELA CRISTINA GONCALVES DA SILVA CORDEIRO
20001636056,11789,GABRIELA CRISTINA GONCALVES DA SILVA CORDEIRO,Deputado Estadual,BARRA DE SANTO ANTÔNIO,16,12,4,GABI GONCALVES,GABI | GONCALVES,GABRIELA CRISTINA GONCALVES DA SILVA CORDEIRO
20001636056,11789,GABRIELA CRISTINA GONCALVES DA SILVA CORDEIRO,Deputado Estadual,IBATEGUARA,11,11,6,GABI GONCALVES,GABI | GONCALVES,GABRIELA CRISTINA GONCALVES DA SILVA CORDEIRO
20001636056,11789,GABRIELA CRISTINA GONCALVES DA SILVA CORDEIRO,Deputado Estadual,MAJOR ISIDORO,11,8,4,GABI GONCALVES,GABI | GONCALVES,GABRIELA CRISTINA GONCALVES DA SILVA CORDEIRO
20001636056,11789,GABRIELA CRISTINA GONCALVES DA SILVA CORDEIRO,Deputado Estadual,COITÉ DO NÓIA,10,9,3,GABI GONCALVES,GABI | GONCALVES,GABRIELA CRISTINA GONCALVES DA SILVA CORDEIRO
20001636056,11789,GABRIELA CRISTINA GONCALVES DA SILVA CORDEIRO,Deputado Estadual,TEOTÔNIO VILELA,9,9,5,GABI GONCALVES,GABI | GONCALVES,GABRIELA CRISTINA GONCALVES DA SILVA CORDEIRO
20001636056,11789,GABRIELA CRISTINA GONCALVES DA SILVA CORDEIRO,Deputado Estadual,CHÃ PRETA,8,8,3,GABI GONCALVES,GABI | GONCALVES,GABRIELA CRISTINA GONCALVES DA SILVA CORDEIRO
20001636056,11789,GABRIELA CRISTINA GONCALVES DA SILVA CORDEIRO,Deputado Estadual,ROTEIRO,8,8,3,GABI GONCALVES,GABI | GONCALVES,GABRIELA CRISTINA GONCALVES DA SILVA CORDEIRO
20001636056,11789,GABRIELA CRISTINA GONCALVES DA SILVA CORDEIRO,Deputado Estadual,CANAPI,8,7,3,GABI GONCALVES,GABI | GONCALVES,GABRIELA CRISTINA GONCALVES DA SILVA CORDEIRO
20001636056,11789,GABRIELA CRISTINA GONCALVES DA SILVA CORDEIRO,Deputado Estadual,FEIRA GRANDE,8,7,3,GABI GONCALVES,GABI | GONCALVES,GABRIELA CRISTINA GONCALVES DA SILVA CORDEIRO
20001636056,11789,GABRIELA CRISTINA GONCALVES DA SILVA CORDEIRO,Deputado Estadual,LIMOEIRO DE ANADIA,7,7,5,GABI GONCALVES,GABI | GONCALVES,GABRIELA CRISTINA GONCALVES DA SILVA CORDEIRO
20001636056,11789,GABRIELA CRISTINA GONCALVES DA SILVA CORDEIRO,Deputado Estadual,PAULO JACINTO,7,6,3,GABI GONCALVES,GABI | GONCALVES,GABRIELA CRISTINA GONCALVES DA SILVA CORDEIRO
20001636056,11789,GABRIELA CRISTINA GONCALVES DA SILVA CORDEIRO,Deputado Estadual,MONTEIRÓPOLIS,7,7,2,GABI GONCALVES,GABI | GONCALVES,GABRIELA CRISTINA GONCALVES DA SILVA CORDEIRO
20001636056,11789,GABRIELA CRISTINA GONCALVES DA SILVA CORDEIRO,Deputado Estadual,IGACI,6,5,4,GABI GONCALVES,GABI | GONCALVES,GABRIELA CRISTINA GONCALVES DA SILVA CORDEIRO
20001636056,11789,GABRIELA CRISTINA GONCALVES DA SILVA CORDEIRO,Deputado Estadual,PINDOBA,6,4,2,GABI GONCALVES,GABI | GONCALVES,GABRIELA CRISTINA GONCALVES DA SILVA CORDEIRO
20001636056,11789,GABRIELA CRISTINA GONCALVES DA SILVA CORDEIRO,Deputado Estadual,JUNQUEIRO,5,5,4,GABI GONCALVES,GABI | GONCALVES,GABRIELA CRISTINA GONCALVES DA SILVA CORDEIRO
20001636056,11789,GABRIELA CRISTINA GONCALVES DA SILVA CORDEIRO,Deputado Estadual,PORTO DE PEDRAS,5,4,3,GABI GONCALVES,GABI | GONCALVES,GABRIELA CRISTINA GONCALVES DA SILVA CORDEIRO
20001636056,11789,GABRIELA CRISTINA GONCALVES DA SILVA CORDEIRO,Deputado Estadual,MARAVILHA,4,4,3,GABI GONCALVES,GABI | GONCALVES,GABRIELA CRISTINA GONCALVES DA SILVA CORDEIRO
20001636056,11789,GABRIELA CRISTINA GONCALVES DA SILVA CORDEIRO,Deputado Estadual,JEQUIÁ DA PRAIA,4,4,2,GABI GONCALVES,GABI | GONCALVES,GABRIELA CRISTINA GONCALVES DA SILVA CORDEIRO
20001636056,11789,GABRIELA CRISTINA GONCALVES DA SILVA CORDEIRO,Deputado Estadual,BELO MONTE,2,2,2,GABI GONCALVES,GABI | GONCALVES,GABRIELA CRISTINA GONCALVES DA SILVA CORDEIRO
