municipio,regiao_estimada,votos_parceiro,locais_votacao,secoes_com_voto,percentual_votos_parceiro,forca_reduto,ranking_regiao_parceiro
UNIÃO DOS PALMARES,226,18,1,8,0.0614,BAIXA PRESENÇA,131
BATALHA,196,17,1,4,0.0579,BAIXA PRESENÇA,132
MACEIÓ,PROX. TERMINAL RODOVIARIO,17,1,7,0.0579,BAIXA PRESENÇA,133
OLHO D ÁGUA DAS FLORES,NÃO INFORMADO,17,6,14,0.0579,BAIXA PRESENÇA,134
PARIPUEIRA,NÃO INFORMADO,17,4,12,0.0579,BAIXA PRESENÇA,135
PORTO REAL DO COLÉGIO,CARNAIBA S,16,1,2,0.0545,BAIXA PRESENÇA,136
COQUEIRO SECO,460,15,1,2,0.0511,BAIXA PRESENÇA,137
MACEIÓ,454,15,1,5,0.0511,BAIXA PRESENÇA,138
MACEIÓ,SANTA MARIA,15,1,5,0.0511,BAIXA PRESENÇA,139
MINADOR DO NEGRÃO,NÃO INFORMADO,15,2,8,0.0511,BAIXA PRESENÇA,140
PALMEIRA DOS ÍNDIOS,246,15,1,8,0.0511,BAIXA PRESENÇA,141
SANTANA DO MUNDAÚ,RESIDENCIAL SANTANA DO MUNDAU,15,2,9,0.0511,BAIXA PRESENÇA,142
SÃO SEBASTIÃO,LAGOA SECA S,15,1,4,0.0511,BAIXA PRESENÇA,143
SÃO SEBASTIÃO,SAO JOSE S,15,1,4,0.0511,BAIXA PRESENÇA,144
MACEIÓ,POCO,14,1,8,0.0477,BAIXA PRESENÇA,145
NOVO LINO,246,14,1,2,0.0477,BAIXA PRESENÇA,146
VIÇOSA,CONJ. CIDADE DE DEUS - MUTIRAO - AREA 07,14,1,9,0.0477,BAIXA PRESENÇA,147
ARAPIRACA,ARAPIRACA,13,1,7,0.0443,BAIXA PRESENÇA,148
MACEIÓ,. 510,13,1,8,0.0443,BAIXA PRESENÇA,149
MACEIÓ,OSMAN LOUREIRO,13,1,3,0.0443,BAIXA PRESENÇA,150
MACEIÓ,VILAGE CAMPESTRE I,13,1,6,0.0443,BAIXA PRESENÇA,151
PALMEIRA DOS ÍNDIOS,MARIA,13,1,8,0.0443,BAIXA PRESENÇA,152
PENEDO,EM FRENTE A CODEVASF,13,1,11,0.0443,BAIXA PRESENÇA,153
PENEDO,EM FRENTE AO NUDEPE,13,1,7,0.0443,BAIXA PRESENÇA,154
ARAPIRACA,511,12,1,5,0.0409,BAIXA PRESENÇA,155
ARAPIRACA,BRISA DO LAGO - OLHO DAGUA DOS CAZUZINHO,12,1,4,0.0409,BAIXA PRESENÇA,156
ATALAIA,ALTO JOAO MIRANDA,12,1,6,0.0409,BAIXA PRESENÇA,157
IGREJA NOVA,NÃO INFORMADO,12,2,9,0.0409,BAIXA PRESENÇA,158
MACEIÓ,290,12,1,5,0.0409,BAIXA PRESENÇA,159
MACEIÓ,JOAQUIM LEAO,12,1,6,0.0409,BAIXA PRESENÇA,160
MACEIÓ,VALE DO TOCANTINS,12,1,4,0.0409,BAIXA PRESENÇA,161
CRAÍBAS,FOLHA MIUDA S,11,1,7,0.0375,BAIXA PRESENÇA,162
IBATEGUARA,NÃO INFORMADO,11,6,11,0.0375,BAIXA PRESENÇA,163
JAPARATINGA,BOQUEIRAO,11,1,3,0.0375,BAIXA PRESENÇA,164
MACEIÓ,- CJ. SELMA BANDEIRA,11,1,5,0.0375,BAIXA PRESENÇA,165
MACEIÓ,1199,11,1,6,0.0375,BAIXA PRESENÇA,166
MACEIÓ,215,11,1,8,0.0375,BAIXA PRESENÇA,167
MACEIÓ,BOM PARTO (VIZ. A SEMED),11,1,4,0.0375,BAIXA PRESENÇA,168
MAJOR ISIDORO,NÃO INFORMADO,11,4,8,0.0375,BAIXA PRESENÇA,169
SÃO MIGUEL DOS CAMPOS,111,11,1,5,0.0375,BAIXA PRESENÇA,170
