ANO_ELEICAO,SG_UF,CD_MUNICIPIO,municipio_original,zona,secao,numero_local_votacao,nome_local_votacao,endereco,regiao_estimada,DS_CARGO,NR_VOTAVEL,NM_VOTAVEL,SQ_CANDIDATO,votos_parceiro
2022,AL,28410,PIRANHAS,40,200,1147,ESCOLA ESTADUAL UNEX II,"AV. DELMIRO GOUVEIA, S/N",NÃO INFORMADO,Deputado Estadual,11789,GABRIELA CRISTINA GONCALVES DA SILVA CORDEIRO,20001636056,10
2022,AL,28096,MURICI,9,39,1066,ESCOLA MUNICIPAL DE ENSINO FUNDAMENTAL E MEDIO PROFESSOR AURINO MACIEL,"CJ. RESIDENCIAL PEDRO TENÓRIO RAPOSO, S/N",PEDRO TENORIO RAPOSO,Deputado Estadual,11789,GABRIELA CRISTINA GONCALVES DA SILVA CORDEIRO,20001636056,8
2022,AL,27855,MACEIÓ,2,377,1597,CLUBE DA CAIXA ECONOMICA FEDERAL,"ROD. AL 101 NORTE, S/N",NÃO INFORMADO,Deputado Estadual,11789,GABRIELA CRISTINA GONCALVES DA SILVA CORDEIRO,20001636056,3
2022,AL,27855,MACEIÓ,54,485,1651,ESCOLA DE ENSINO FUNDAMENTAL PROF. JAYME DE ALTAVILLA,"RUA DILERMANO REIS, S/N, LOT SANTA LUCIA",LOT SANTA LUCIA,Deputado Estadual,11789,GABRIELA CRISTINA GONCALVES DA SILVA CORDEIRO,20001636056,2
2022,AL,28711,SÃO MIGUEL DOS CAMPOS,18,251,1287,ESCOLA MUNICIPAL DESEMBARGADOR JOSE FERNANDO LIMA SOUZA,"RODOVIA BR 101, KM 69",KM 69,Deputado Estadual,11789,GABRIELA CRISTINA GONCALVES DA SILVA CORDEIRO,20001636056,5
2022,AL,27430,COQUEIRO SECO,8,130,1015,ESC MUN CELINA PEDROSA NAVARRO,"RUA PREFEITO JOSE DE ALMEIDA FILHO, 460",460,Deputado Estadual,11789,GABRIELA CRISTINA GONCALVES DA SILVA CORDEIRO,20001636056,5
2022,AL,27855,MACEIÓ,2,177,1376,ESCOLA ESTADUAL VIRGINIO DE CAMPOS,"RUA FIRMINO DE VASCONCELOS, 22",NÃO INFORMADO,Deputado Estadual,11789,GABRIELA CRISTINA GONCALVES DA SILVA CORDEIRO,20001636056,3
2022,AL,28673,SÃO JOSÉ DA TAPERA,51,49,1104,EME INFANTIL E FUNDAMENTAL ELIZABETH JACOBA MARIA BOGERS,RUA DIVALDO SURUAGY S/N,NÃO INFORMADO,Deputado Estadual,11789,GABRIELA CRISTINA GONCALVES DA SILVA CORDEIRO,20001636056,1
2022,AL,27855,MACEIÓ,3,65,1422,COLÉGIO TIRADENTES,"AV. ROBERTO PONTES LIMA, 208,",208,Deputado Estadual,11789,GABRIELA CRISTINA GONCALVES DA SILVA CORDEIRO,20001636056,2
2022,AL,28339,PENEDO,13,60,1066,GRUPO ESCOLAR ESTADUAL GABINO BESOURO,"AVENIDA NILO PECANHA, 182, PRÓXIMO AO TIRO DE GUERRA",PROXIMO AO TIRO DE GUERRA,Deputado Estadual,11789,GABRIELA CRISTINA GONCALVES DA SILVA CORDEIRO,20001636056,4
