ordem_curadoria,semana_sugerida,municipio,ranking_gabi_preliminar,nome_lideranca,tipo_lideranca,partido,votos_2024,rank_local_lideranca,prioridade_lideranca_gabi,status_curadoria_lideranca,objetivo_da_abordagem,abordagem_recomendada,responsavel_articulacao,telefone_contato,observacao_curadoria,risco_politico,proximo_passo
48,Semana 3,PILAR,14,ALEX CAVALCANTE,Vereador(a),MDB,2602,1,Alta,Curar na primeira rodada,Confirmar possibilidade de apoio e agenda conjunta,"Mapear interlocutor local de ALEX CAVALCANTE; levantar histórico de alinhamento, vínculos partidários e abertura para agenda conjunta.",,,,,
49,Semana 3,ARAPIRACA,2,PABLO FÊNIX,Vereador(a),PP,2273,8,Alta,Curar na primeira rodada,Confirmar possibilidade de apoio e agenda conjunta,"Mapear interlocutor local de PABLO FÊNIX; levantar histórico de alinhamento, vínculos partidários e abertura para agenda conjunta.",,,,,
50,Semana 3,MACEIÓ,1,ZÉ MÁRCIO FILHO,Vereador(a),MDB,3572,12,Monitorar,Monitorar aderência,Validar aderência política e capacidade de mobilização,Monitorar movimentação política e reavaliar após novas alianças ou agenda municipal.,,,,,
51,Semana 3,UNIÃO DOS PALMARES,5,GUSTAVO PEDROZA,Vereador(a),PDT,1503,5,Muito alta,Contato prioritário,Confirmar possibilidade de apoio e agenda conjunta,Validar relação política com GUSTAVO PEDROZA em UNIÃO DOS PALMARES; avaliar agenda direta com Gabi e possibilidade de composição com Davi Maia.,,,,,
52,Semana 3,MACEIÓ,1,GALBA NETTO,Vereador(a),PL,3353,13,Monitorar,Monitorar aderência,Validar aderência política e capacidade de mobilização,Monitorar movimentação política e reavaliar após novas alianças ou agenda municipal.,,,,,
53,Semana 3,SANTANA DO IPANEMA,12,MIGUEL OLIVEIRA,Vereador(a),MDB,1568,1,Alta,Curar na primeira rodada,Confirmar possibilidade de apoio e agenda conjunta,"Mapear interlocutor local de MIGUEL OLIVEIRA; levantar histórico de alinhamento, vínculos partidários e abertura para agenda conjunta.",,,,,
54,Semana 3,PENEDO,8,JUNIOR DO TÓ,Vereador(a),PSB,1275,3,Muito alta,Contato prioritário,Confirmar possibilidade de apoio e agenda conjunta,Validar relação política com JUNIOR DO TÓ em PENEDO; avaliar agenda direta com Gabi e possibilidade de composição com Davi Maia.,,,,,
55,Semana 3,PALMEIRA DOS ÍNDIOS,4,JANIO MARQUES,Vereador(a),MDB,1506,6,Alta,Curar na primeira rodada,Confirmar possibilidade de apoio e agenda conjunta,"Mapear interlocutor local de JANIO MARQUES; levantar histórico de alinhamento, vínculos partidários e abertura para agenda conjunta.",,,,,
56,Semana 3,SÃO MIGUEL DOS CAMPOS,7,ALFREDO MOURA,Vereador(a),MDB,1435,4,Muito alta,Contato prioritário,Confirmar possibilidade de apoio e agenda conjunta,Validar relação política com ALFREDO MOURA em SÃO MIGUEL DOS CAMPOS; avaliar agenda direta com Gabi e possibilidade de composição com Davi Maia.,,,,,
57,Semana 3,MACEIÓ,1,TECA NELMA,Vereador(a),PT,3284,14,Monitorar,Monitorar aderência,Validar aderência política e capacidade de mobilização,Monitorar movimentação política e reavaliar após novas alianças ou agenda municipal.,,,,,
58,Semana 3,RIO LARGO,3,RAFAEL FEITOSA,Vereador(a),PP,1701,7,Alta,Curar na primeira rodada,Confirmar possibilidade de apoio e agenda conjunta,"Mapear interlocutor local de RAFAEL FEITOSA; levantar histórico de alinhamento, vínculos partidários e abertura para agenda conjunta.",,,,,
