rank_estrategico,municipio,prefeito,cargo,partido,votos_prefeito,percentual_prefeito,eleitorado_2024,indice_estrategico_pct,prioridade_politica,visitado_pre_campanha,quantidade_visitas,ultima_visita,grupo_politico,relacao_davi,peso_politico,status_articulacao,observacoes,fonte_dados,status_classificacao
48,Canapi,JOSÉLIA MELO DE LIMA,Prefeito,PP,7399,61.55,15330,0.58594325001285,Baixa Prioridade,False,0,,,,,,,TSE 2024 + IBGE 2024 + TSE Eleitorado 2024 + Instagram/Reels,pendente_revisao
49,Piaçabuçu,RYMES MARINHO LESSA,Prefeito,MDB,5010,42.53,14386,0.56316030866728,Baixa Prioridade,False,0,,,,,,,TSE 2024 + IBGE 2024 + TSE Eleitorado 2024 + Instagram/Reels,pendente_revisao
50,Inhapi,LUIZ CELSO MALTA BRANDÃO FILHO,Prefeito,PP,9646,89.91,14546,0.56044092289898,Baixa Prioridade,False,0,,,,,,,TSE 2024 + IBGE 2024 + TSE Eleitorado 2024 + Instagram/Reels,pendente_revisao
51,Messias,MARCOS JOSÉ HERCULANO DA SILVA,Prefeito,REPUBLICANOS,7223,62.13,14439,0.56007666337882,Baixa Prioridade,False,0,,,,,,,TSE 2024 + IBGE 2024 + TSE Eleitorado 2024 + Instagram/Reels,pendente_revisao
52,Batalha,WAGNEY DANTAS CORREIA CAJE,Prefeito,MDB,6951,64.39,13756,0.55351140474939,Baixa Prioridade,False,0,,,,,,,TSE 2024 + IBGE 2024 + TSE Eleitorado 2024 + Instagram/Reels,pendente_revisao
53,Capela,THIAGO DE MEDEIROS MOURA,Prefeito,MDB,6085,58.07,13391,0.52409348323462,Baixa Prioridade,False,0,,,,,,,TSE 2024 + IBGE 2024 + TSE Eleitorado 2024 + Instagram/Reels,pendente_revisao
54,Estrela de Alagoas,ROBERTO FERREIRA WANDERLEY,Prefeito,MDB,5538,57.72,13068,0.52073539237752,Baixa Prioridade,False,0,,,,,,,TSE 2024 + IBGE 2024 + TSE Eleitorado 2024 + Instagram/Reels,pendente_revisao
55,Anadia,PAULO VICTOR PEREIRA ROCHA,Prefeito,PP,5446,54.0,13178,0.50983815592781,Baixa Prioridade,False,0,,,,,,,TSE 2024 + IBGE 2024 + TSE Eleitorado 2024 + Instagram/Reels,pendente_revisao
56,Paripueira,CARLOS ABRAHÃO GOMES DE MOURA,Prefeito,MDB,7170,70.08,12809,0.4991062512698599,Baixa Prioridade,False,0,,,,,,,TSE 2024 + IBGE 2024 + TSE Eleitorado 2024 + Instagram/Reels,pendente_revisao
57,Passo de Camaragibe,ELLISSON SANTOS DA SILVA,Prefeito,REPUBLICANOS,6934,67.44,12595,0.4920425331179699,Baixa Prioridade,False,0,,,,,,,TSE 2024 + IBGE 2024 + TSE Eleitorado 2024 + Instagram/Reels,pendente_revisao
58,Ibateguara,MANOEL GERAERTES ALVES CRUZ,Prefeito,MDB,6657,75.79,11919,0.47188948172057,Baixa Prioridade,False,0,,,,,,,TSE 2024 + IBGE 2024 + TSE Eleitorado 2024 + Instagram/Reels,pendente_revisao
59,Maribondo,BRUNO ZEFERINO DO CARMO TEIXEIRA,Prefeito,PSB,5081,56.41,11101,0.44822647402321,Baixa Prioridade,True,1,2026-05-31,,,,,,TSE 2024 + IBGE 2024 + TSE Eleitorado 2024 + Instagram/Reels,pendente_revisao
60,Poço das Trincheiras,JOSE VALMIRO GOMES DA COSTA,Prefeito,MDB,3961,44.18,11129,0.43976823063316,Baixa Prioridade,False,0,,,,,,,TSE 2024 + IBGE 2024 + TSE Eleitorado 2024 + Instagram/Reels,pendente_revisao
61,Quebrangulo,MANOEL COSTA TENÓRIO,Prefeito,PSDB,2964,36.01,10470,0.40533570257749,Baixa Prioridade,True,4,2026-05-30,Base Davi Maia,base_familiar,alto,consolidado,Município de origem política da família Maia.,TSE 2024 + IBGE 2024 + TSE Eleitorado 2024 + Instagram/Reels,classificacao_inicial
62,Senador Rui Palmeira,JOÃO CARLOS RODRIGUES,Prefeito,MDB,4778,62.64,9890,0.40030575807539,Baixa Prioridade,False,0,,,,,,,TSE 2024 + IBGE 2024 + TSE Eleitorado 2024 + Instagram/Reels,pendente_revisao
63,Ouro Branco,TACIA DENYSE DE SIQUEIRA NOBRE,Prefeito,PP,5480,67.21,10077,0.39774515787206,Baixa Prioridade,False,0,,,,,,,TSE 2024 + IBGE 2024 + TSE Eleitorado 2024 + Instagram/Reels,pendente_revisao
64,Olivença,JOSIMAR DIONISIO,Prefeito,MDB,4857,59.37,10260,0.39692391690208,Baixa Prioridade,False,0,,,,,,,TSE 2024 + IBGE 2024 + TSE Eleitorado 2024 + Instagram/Reels,pendente_revisao
65,Novo Lino,MARCELA SILVA GOMES DE BARROS,Prefeito,MDB,5935,75.24,10193,0.38801671086606,Baixa Prioridade,False,0,,,,,,,TSE 2024 + IBGE 2024 + TSE Eleitorado 2024 + Instagram/Reels,pendente_revisao
66,Santana do Mundaú,ANDRÉ LUIZ GOES CASTRO,Prefeito,MDB,5322,72.96,9627,0.38363015810328,Baixa Prioridade,False,0,,,,,,,TSE 2024 + IBGE 2024 + TSE Eleitorado 2024 + Instagram/Reels,pendente_revisao
67,Coité do Nóia,BUENO HIGINO DE SOUZA SILVA,Prefeito,PP,5687,73.93,9675,0.3800492142899699,Baixa Prioridade,False,0,,,,,,,TSE 2024 + IBGE 2024 + TSE Eleitorado 2024 + Instagram/Reels,pendente_revisao
68,Pariconha,ANTONIO TELMO NOIA,Prefeito,MDB,4892,67.08,9746,0.37991294917576,Baixa Prioridade,False,0,,,,,,,TSE 2024 + IBGE 2024 + TSE Eleitorado 2024 + Instagram/Reels,pendente_revisao
69,Dois Riachos,ROZINEIDE BARBOSA DE ARAÚJO CAMILO,Prefeito,MDB,4470,59.05,9898,0.37591156607118,Baixa Prioridade,False,0,,,,,,,TSE 2024 + IBGE 2024 + TSE Eleitorado 2024 + Instagram/Reels,pendente_revisao
