chave_local,municipio,local,endereco,latitude,longitude,bairro,status,fonte,estrategia_usada,consulta_usada,display_name
"MACEIO|ESC. EST. PROF. EDUARDO DA MOTA TRIGUEIROS|RUA ADAUTO GOMES BARBOSA, S/N - SANTO EDUARDO",MACEIO,ESC. EST. PROF. EDUARDO DA MOTA TRIGUEIROS,"RUA ADAUTO GOMES BARBOSA, S/N - SANTO EDUARDO",,,,NAO_ENCONTRADO_V2,,,,
"MACEIO|ESC. MUN. DR. ORLANDO ARAUJO|RUA DR. JOSE SAMPAIO LUZ, S/N",MACEIO,ESC. MUN. DR. ORLANDO ARAUJO,"RUA DR. JOSE SAMPAIO LUZ, S/N",,,,NAO_ENCONTRADO_V2,,,,
"MACEIO|ESC. DE ENS. FUND. PROF. ALMEIDA LEITE|RUA DR. VIRGILIO GUEDES, S/N",MACEIO,ESC. DE ENS. FUND. PROF. ALMEIDA LEITE,"RUA DR. VIRGILIO GUEDES, S/N",,,,NAO_ENCONTRADO_V2,,,,
"MACEIO|E.M. SELMA BANDEIRA|AV. DA PAZ, SN - CJ. SELMA BANDEIRA",MACEIO,E.M. SELMA BANDEIRA,"AV. DA PAZ, SN - CJ. SELMA BANDEIRA",-9.5811514,-35.7159217,Benedito Bentes,ENCONTRADO_OSM_NOMINATIM,OSM_NOMINATIM,OSM_LOCAL_MUNICIPIO,"E.M. SELMA BANDEIRA, MACEIO, Alagoas, Brasil","Quadra Vinte e Dois, Conjunto Selma Bandeira, Benedito Bentes, Maceió, Alagoas, Região Nordeste, 57046-080, Brasil"
"MACEIO|ESCOLA MUN. SERGIO LUIZ PESSOA BRAGA|PRACA GOVERNADOR LAMENHA FILHO, S/N",MACEIO,ESCOLA MUN. SERGIO LUIZ PESSOA BRAGA,"PRACA GOVERNADOR LAMENHA FILHO, S/N",,,,NAO_ENCONTRADO_V2,,,,
"MACEIO|E.E. MANOEL DE ARAUJO DORIA|AV. SENADOR TEOTONIO VILELA - CJ HENRIQUE EQUELMAN, S/N",MACEIO,E.E. MANOEL DE ARAUJO DORIA,"AV. SENADOR TEOTONIO VILELA - CJ HENRIQUE EQUELMAN, S/N",-9.5651554,-35.7421816,Antares,ENCONTRADO_OSM_NOMINATIM,OSM_NOMINATIM,OSM_LOCAL_SIMPLIFICADO,"MANOEL DE ARAUJO DORIA, MACEIO, Alagoas, Brasil","Escola Estadual Manoel de Araújo Dória, Avenida Senador Teotônio Vilela, Conjunto Henrique Equelman, Antares, Maceió, Alagoas, Região Nordeste, 57081-425, Brasil"
"MACEIO|ESC. MUN. RADIALISTA EDECIO LOPES (ANTIGO COL. LAERSON ROSA)|RUA ALAMEDA CELIA DOS ANJOS, 06",MACEIO,ESC. MUN. RADIALISTA EDECIO LOPES (ANTIGO COL. LAERSON ROSA),"RUA ALAMEDA CELIA DOS ANJOS, 06",,,,NAO_ENCONTRADO_V2,,,,
"MACEIO|CENTRO DE ENSINO SANTA JULIANA|AV DURVAL DE GOES MONTEIRO, 2345, C67P, CM",MACEIO,CENTRO DE ENSINO SANTA JULIANA,"AV DURVAL DE GOES MONTEIRO, 2345, C67P, CM",,,,NAO_ENCONTRADO_V2,,,,
"MACEIO|ESC. MUN. JOAO XXIII|RUA DR.JOSE JOAQUIM DE ARAUJO, S/N",MACEIO,ESC. MUN. JOAO XXIII,"RUA DR.JOSE JOAQUIM DE ARAUJO, S/N",,,,NAO_ENCONTRADO_V2,,,,
"MACEIO|E.E. MANUEL BALTAZAR P. DIEGUES JUNIOR|CONJUNTO SANTA MARIA, S/N - RUA D QD 8",MACEIO,E.E. MANUEL BALTAZAR P. DIEGUES JUNIOR,"CONJUNTO SANTA MARIA, S/N - RUA D QD 8",,,,NAO_ENCONTRADO_V2,,,,
"MACEIO|ESCOLA DE ENSINO FUNDAMENTAL CLETO MARQUES LUZ|RUA P, LOT COLINA DOS EUCALIPTOS",MACEIO,ESCOLA DE ENSINO FUNDAMENTAL CLETO MARQUES LUZ,"RUA P, LOT COLINA DOS EUCALIPTOS",-9.5847954,-35.7746425,Santa Amélia,ENCONTRADO_OSM_NOMINATIM,OSM_NOMINATIM,OSM_LOCAL_MUNICIPIO,"ESCOLA DE ENSINO FUNDAMENTAL CLETO MARQUES LUZ, MACEIO, Alagoas, Brasil","Escola de Ensino Fundamental Cleto Marques Luz, Pista A, Conjunto Colina dos Eucaliptos, Santa Amélia, Maceió, Alagoas, Região Nordeste, 57063-505, Brasil"
"MACEIO|COLEGIO SAGRADA FAMILIA|RUA ALAMEDA MARIA DAS GRACAS NOVAES BRANDAO VILELA, 07",MACEIO,COLEGIO SAGRADA FAMILIA,"RUA ALAMEDA MARIA DAS GRACAS NOVAES BRANDAO VILELA, 07",,,,NAO_ENCONTRADO_V2,,,,
"MACEIO|E.M. GASTONE LUCIA DE CARVALHO BELTRAO|CONJ. JARDIM ROYAL - MODULO II - QD Q, S/N",MACEIO,E.M. GASTONE LUCIA DE CARVALHO BELTRAO,"CONJ. JARDIM ROYAL - MODULO II - QD Q, S/N",,,,NAO_ENCONTRADO_V2,,,,
"MACEIO|COLEGIO SANTA AMELIA|RUA D, 11 LOTEAMENTO SANTA AMELIA",MACEIO,COLEGIO SANTA AMELIA,"RUA D, 11 LOTEAMENTO SANTA AMELIA",-9.6336915,-35.7389922,Pinheiro,ENCONTRADO_OSM_NOMINATIM,OSM_NOMINATIM,OSM_LOCAL_MUNICIPIO,"COLEGIO SANTA AMELIA, MACEIO, Alagoas, Brasil","Colégio Santa Amélia, 793, Alameda São Benedito, Pinheiro, Maceió, Alagoas, Região Nordeste, 57055-465, Brasil"
