chave_local,municipio,local,endereco,latitude,longitude,bairro,status,consulta_usada,display_name
ARAPIRACA|GRUPO ESCOLAR DOMINGOS LOPES|RUA VEREADOR DOMINGOS LOPES S/N,ARAPIRACA,GRUPO ESCOLAR DOMINGOS LOPES,RUA VEREADOR DOMINGOS LOPES S/N,,,,NAO_ENCONTRADO_OSM,,
ARAPIRACA|GRUPO ESCOLAR JOAO BATISTA PEREIRA|COHAB NOVA S/N,ARAPIRACA,GRUPO ESCOLAR JOAO BATISTA PEREIRA,COHAB NOVA S/N,,,,NAO_ENCONTRADO_OSM,,
ARAPIRACA|GRUPO ESCOLAR CONEGO EPITACIO RODRIGUES|VILA SAO FRANCISCO,ARAPIRACA,GRUPO ESCOLAR CONEGO EPITACIO RODRIGUES,VILA SAO FRANCISCO,,,,NAO_ENCONTRADO_OSM,,
ARAPIRACA|ESCOLA DE ENSINO FUNDAMENTAL ZELIA BARBOSA ROCHA|RUA DJALMA M. SANTANA,ARAPIRACA,ESCOLA DE ENSINO FUNDAMENTAL ZELIA BARBOSA ROCHA,RUA DJALMA M. SANTANA,-9.7712290,-36.6412944,Boa Vista,ENCONTRADO_OSM,"ESCOLA DE ENSINO FUNDAMENTAL ZELIA BARBOSA ROCHA, ARAPIRACA, Alagoas, Brasil","Escola De Ensino Fundamental Zélia Barbosa Rocha, 255, Rua Djalma Matheus Santana, Boa Vista, Arapiraca, Alagoas, Região Nordeste, 57316-305, Brasil"
ARAPIRACA|GRUPO ESCOLAR PEDRO CORREIA DAS GRACAS|RUA VICENTE NUNES S/N,ARAPIRACA,GRUPO ESCOLAR PEDRO CORREIA DAS GRACAS,RUA VICENTE NUNES S/N,,,,NAO_ENCONTRADO_OSM,,
ARAPIRACA|ESCOLAR ANA BERNARDES SILVEIRA|SERRA DOS FERREIRA S/N,ARAPIRACA,ESCOLAR ANA BERNARDES SILVEIRA,SERRA DOS FERREIRA S/N,,,,NAO_ENCONTRADO_OSM,,
ARAPIRACA|ESCOLA LINDAUVA EULALIA DE FARIAS|POVOADO BAIXA GRANDE DE DENTRO,ARAPIRACA,ESCOLA LINDAUVA EULALIA DE FARIAS,POVOADO BAIXA GRANDE DE DENTRO,,,,NAO_ENCONTRADO_OSM,,
ARAPIRACA|ESCOLA DE ENSINO FUNDAMENTAL LOJA MACONICA|RUA JOSE CLOVIS R. DE BARROS,ARAPIRACA,ESCOLA DE ENSINO FUNDAMENTAL LOJA MACONICA,RUA JOSE CLOVIS R. DE BARROS,,,,NAO_ENCONTRADO_OSM,,
ARAPIRACA|ESCOLA DE ENSINO FUNDAMENTAL GUIMARAES PASSOS|VILA FERNANDES,ARAPIRACA,ESCOLA DE ENSINO FUNDAMENTAL GUIMARAES PASSOS,VILA FERNANDES,,,,NAO_ENCONTRADO_OSM,,
ARAPIRACA|ANEXO ESCOLA JAYME DE ALTAVILLA|AV. MIGUEL CORREIA S/N,ARAPIRACA,ANEXO ESCOLA JAYME DE ALTAVILLA,AV. MIGUEL CORREIA S/N,,,,NAO_ENCONTRADO_OSM,,
"ARAPIRACA|IFAL - INSTITUTO FEDERAL DE ALAGOAS|RODOVIA AL 110, N 4805",ARAPIRACA,IFAL - INSTITUTO FEDERAL DE ALAGOAS,"RODOVIA AL 110, N 4805",-9.4071760,-36.6551382,Vila João XXIII,ENCONTRADO_OSM,"IFAL - INSTITUTO FEDERAL DE ALAGOAS, Alagoas, Brasil","IFAL - Instituto Federal de Alagoas, Vila João XXIII, Palmeira dos Índios, Alagoas, Região Nordeste, Brasil"
"ARAPIRACA|ESCOLA DE ENSINO FUNDAMENTAL VOLUNTARIA MARIA DAS NEVES BORGES|RUA SINESIO FERREIRA LIMA, N 383, OURO PRETO",ARAPIRACA,ESCOLA DE ENSINO FUNDAMENTAL VOLUNTARIA MARIA DAS NEVES BORGES,"RUA SINESIO FERREIRA LIMA, N 383, OURO PRETO",,,,NAO_ENCONTRADO_OSM,,
ARAPIRACA|CENTRO DE EDUCACAO INFANTIL JOANNA DE ANGELLIS (ANTIGO MADRE PAULINA)|RUA DOMINGOS CORREIA 1065,ARAPIRACA,CENTRO DE EDUCACAO INFANTIL JOANNA DE ANGELLIS (ANTIGO MADRE PAULINA),RUA DOMINGOS CORREIA 1065,,,,NAO_ENCONTRADO_OSM,,
"ARAPIRACA|CENTRO DE EDUCACAO INFANTIL MARIA DE LOURDES PEREIRA CAVALCANTE|RUA OSMAN CAVALCANTE, S/N",ARAPIRACA,CENTRO DE EDUCACAO INFANTIL MARIA DE LOURDES PEREIRA CAVALCANTE,"RUA OSMAN CAVALCANTE, S/N",,,,NAO_ENCONTRADO_OSM,,
"CORURIPE|ESCOLA ESTADUAL LIMA CASTRO|AVENIDA WASHINTON LUIZ, ANTIGA AV CAMACARI",CORURIPE,ESCOLA ESTADUAL LIMA CASTRO,"AVENIDA WASHINTON LUIZ, ANTIGA AV CAMACARI",-9.5699512,-35.7858739,Clima Bom,ENCONTRADO_OSM,"ESCOLA ESTADUAL LIMA CASTRO, Alagoas, Brasil","Escola Estadual Benedito de Castro Lima, Travessa Haroldo de Azevedo, Clima Bom, Maceió, Alagoas, Região Nordeste, 57071-080, Brasil"
"CORURIPE|ESCOLA ESTADUAL DJALMA BARROS SIQUEIRA|RUA PERNAMBUCO NOVO, S/N",CORURIPE,ESCOLA ESTADUAL DJALMA BARROS SIQUEIRA,"RUA PERNAMBUCO NOVO, S/N",,,,NAO_ENCONTRADO_OSM,,
"CORURIPE|ESCOLA MUN. EDUC. BASICA PROF. MARIA ROCHA SANTOS SILVA|TRAVESSA FLAMENGO, 182, QUADRA S",CORURIPE,ESCOLA MUN. EDUC. BASICA PROF. MARIA ROCHA SANTOS SILVA,"TRAVESSA FLAMENGO, 182, QUADRA S",,,,NAO_ENCONTRADO_OSM,,
CORURIPE|ESCOLA MUNICIPAL SANTA SOFIA|RUA DA CAIXA DAGUA - POVOADO BOTAFOGO,CORURIPE,ESCOLA MUNICIPAL SANTA SOFIA,RUA DA CAIXA DAGUA - POVOADO BOTAFOGO,,,,NAO_ENCONTRADO_OSM,,
"CORURIPE|ESCOLA ESTADUAL DEPUTADO JOAO BELTRAO|AV. ANFRISIO DE CASTRO LESSA SANTOS, 506",CORURIPE,ESCOLA ESTADUAL DEPUTADO JOAO BELTRAO,"AV. ANFRISIO DE CASTRO LESSA SANTOS, 506",-10.1164747,-36.1822774,Coruripe,ENCONTRADO_OSM,"ESCOLA ESTADUAL DEPUTADO JOAO BELTRAO, AV. ANFRISIO DE CASTRO LESSA SANTOS, 506, CORURIPE, Alagoas, Brasil","Escola Estadual Deputado João Beltrão, 488, Avenida Anfrísio Lessa de Castro Santos, Coruripe, Alagoas, Região Nordeste, 57230-000, Brasil"
