ranking_reduto_qualificado;municipio;vereador;partido;local_principal;endereco_local_principal;latitude;longitude;bairro;distrito;status_geocodificacao;votos_local_principal;votos_totais_vereador;percentual_local_principal;qtd_secoes_controladas;total_secoes_vereador;indice_reduto;classificacao_reduto;status_reduto;nivel_reduto;potencial_transferencia;prioridade_agenda;observacao_estrategica
165;PENEDO;WESLEY MARQUES DE OLIVEIRA;SOLIDARIEDADE;COLÉGIO ESTADUAL COMENDADOR JOSÉ DA SILVA PEIXOTO;RUA CASTRO ALVES, S/N, EM FRENTE À CODEVASF;;;;;NAO_ENCONTRADO;92;715;1287;22;130;199;REDUTO BAIXO;QUALIFICADO;REDUTO FORTE;MÉDIO;CURTO PRAZO;WESLEY MARQUES DE OLIVEIRA concentra 1287.00% dos seus votos no local COLÉGIO ESTADUAL COMENDADOR JOSÉ DA SILVA PEIXOTO, com 92 votos registrados.
166;MARECHAL DEODORO;JOÃO PAULO ALVES DA SILVA;PDT;INSTITUTO FEDERAL DE ALAGOAS IF/AL;RUA LOURIVAL ALFREDO N 176;-9.7129729;-35.8940606;Centro;;ENCONTRADO;91;842;1081;10;128;1279;REDUTO BAIXO;QUALIFICADO;REDUTO FORTE;MÉDIO;CURTO PRAZO;JOÃO PAULO ALVES DA SILVA concentra 1081.00% dos seus votos no local INSTITUTO FEDERAL DE ALAGOAS IF/AL, com 91 votos registrados.
167;UNIAO DOS PALMARES;CLAUDE FERNANDO DE LIMA;PSD;ESCOLA ESTADUAL CARLOS GOMES DE BARROS;AV. JOÃO LYRA FILHO, S/N;;;;;NAO_ENCONTRADO;89;359;2479;16;123;2407;REDUTO BAIXO;QUALIFICADO;REDUTO FORTE;MÉDIO;CURTO PRAZO;CLAUDE FERNANDO DE LIMA concentra 2479.00% dos seus votos no local ESCOLA ESTADUAL CARLOS GOMES DE BARROS, com 89 votos registrados.
168;UNIAO DOS PALMARES;RICARDO LEAO PRAXEDES;PL;ESCOLA MUNICIPAL JAIRO CORREIA VIANA;RUA TAVARES BASTOS 206;-9.157438;-36.0311805;União dos Palmares;;ENCONTRADO;87;793;1097;14;139;1477;REDUTO BAIXO;QUALIFICADO;REDUTO FORTE;MÉDIO;CURTO PRAZO;RICARDO LEAO PRAXEDES concentra 1097.00% dos seus votos no local ESCOLA MUNICIPAL JAIRO CORREIA VIANA, com 87 votos registrados.
169;MACEIO;SILVIO SAMPAIO CAMELO;PV;ESCOLA DE ENS. FUND. NOSSO LAR I;RUA SAMPAIO DORIA, S/N;;;;;NAO_ENCONTRADO;87;5311;164;16;547;1015;REDUTO BAIXO;QUALIFICADO;REDUTO FORTE;MÉDIO;CURTO PRAZO;SILVIO SAMPAIO CAMELO concentra 164.00% dos seus votos no local ESCOLA DE ENS. FUND. NOSSO LAR I, com 87 votos registrados.
170;ARAPIRACA;FÁBIO ROGÉRIO PEREIRA CHAVES;PSB;ESCOLA DE 1 E 2 GRAUS SENADOR RUI PALMEIRA;RUA MANOEL NUNES NETO S/N;-9.7414437;-36.6642875;Capiatá;;ENCONTRADO;84;1695;496;16;352;121;REDUTO BAIXO;QUALIFICADO;REDUTO FORTE;MÉDIO;CURTO PRAZO;FÁBIO ROGÉRIO PEREIRA CHAVES concentra 496.00% dos seus votos no local ESCOLA DE 1 E 2 GRAUS SENADOR RUI PALMEIRA, com 84 votos registrados.
171;RIO LARGO;JOSÉ LAMARTINE LIMA DOS SANTOS;MDB;ESCOLA MUNICIPAL DR. GUSTAVO PAIVA;CJ BARNABÉ OITICICA II, SN, MATA DO ROLO;;;;;NAO_ENCONTRADO;80;397;2015;15;150;2066;REDUTO BAIXO;QUALIFICADO;REDUTO FORTE;MÉDIO;CURTO PRAZO;JOSÉ LAMARTINE LIMA DOS SANTOS concentra 2015.00% dos seus votos no local ESCOLA MUNICIPAL DR. GUSTAVO PAIVA, com 80 votos registrados.
172;ARAPIRACA;GIVALDO DUARTE DE ASSIS;PL;ESCOLA DE ENSINO FUNDAMENTAL MANOEL HUMBERTO DA COSTA;SÍTIO BATINGAS;;;;;NAO_ENCONTRADO;80;1747;458;10;359;888;REDUTO BAIXO;QUALIFICADO;REDUTO FORTE;MÉDIO;CURTO PRAZO;GIVALDO DUARTE DE ASSIS concentra 458.00% dos seus votos no local ESCOLA DE ENSINO FUNDAMENTAL MANOEL HUMBERTO DA COSTA, com 80 votos registrados.
173;PENEDO;EDILSON COMPANHEIRO SANTOS;PP;SESI - SENAI / UNIDADE PENEDO;AV. WANDERLEY, 922;-10.2822946;-36.5653561;Dom Constatino;;ENCONTRADO;76;467;1627;11;120;1632;REDUTO BAIXO;QUALIFICADO;REDUTO FORTE;MÉDIO;CURTO PRAZO;EDILSON COMPANHEIRO SANTOS concentra 1627.00% dos seus votos no local SESI - SENAI / UNIDADE PENEDO, com 76 votos registrados.
174;ARAPIRACA;MARÍLIA ALMEIDA DE ALBUQUERQUE MELO;PT;COLÉGIO SÃO FRANCISCO DE ASSIS;RUA DOM FELÍCIO DE VASCONCELOS S/N;-9.7445436;-36.659204;Senador Teotônio Vilela;;ENCONTRADO;75;1660;452;11;363;925;REDUTO BAIXO;QUALIFICADO;REDUTO FORTE;MÉDIO;CURTO PRAZO;MARÍLIA ALMEIDA DE ALBUQUERQUE MELO concentra 452.00% dos seus votos no local COLÉGIO SÃO FRANCISCO DE ASSIS, com 75 votos registrados.
175;PALMEIRA DOS INDIOS;IVANILDO BERNARDO RIO;PMB;FACULDADE CESMAC DO SERTÃO;RUA BRAÚLIO MONTENEGRO, S/N, VILA MARIA;;;;;NAO_ENCONTRADO;71;371;1914;10;129;1747;REDUTO BAIXO;QUALIFICADO;REDUTO FORTE;MÉDIO;CURTO PRAZO;IVANILDO BERNARDO RIO concentra 1914.00% dos seus votos no local FACULDADE CESMAC DO SERTÃO, com 71 votos registrados.
176;UNIAO DOS PALMARES;LUCAS JOSE DE SIQUEIRA PAES BEZERRA;PMB;COLEGIO DE ENSINO FUNDAMENTAL MONSENHOR CLOVIS DUARTE DE BARROS;RUA JARDIM BRASILIA;-9.1545653;-36.0312271;União dos Palmares;;ENCONTRADO;70;585;1197;14;136;1511;REDUTO BAIXO;QUALIFICADO;REDUTO FORTE;MÉDIO;CURTO PRAZO;LUCAS JOSE DE SIQUEIRA PAES BEZERRA concentra 1197.00% dos seus votos no local COLEGIO DE ENSINO FUNDAMENTAL MONSENHOR CLOVIS DUARTE DE BARROS, com 70 votos registrados.
177;RIO LARGO;CICERO ALVES DE OMENA;MDB;GRUPO ESCOLAR MANOEL SOARES DE SOUZA;VILA RAUL S/N;;;;;NAO_ENCONTRADO;69;548;1259;7;154;1205;REDUTO BAIXO;QUALIFICADO;REDUTO FORTE;MÉDIO;CURTO PRAZO;CICERO ALVES DE OMENA concentra 1259.00% dos seus votos no local GRUPO ESCOLAR MANOEL SOARES DE SOUZA, com 69 votos registrados.
178;MARECHAL DEODORO;MARCELO CALDAS NUNES;PL;ESCOLA MUNICIPAL CARLOS AVELINO DA SILVA;RES MARIA GISLENE MATHEUS, S/N;;;;;NAO_ENCONTRADO;67;727;922;6;132;951;REDUTO BAIXO;QUALIFICADO;REDUTO FORTE;MÉDIO;CURTO PRAZO;MARCELO CALDAS NUNES concentra 922.00% dos seus votos no local ESCOLA MUNICIPAL CARLOS AVELINO DA SILVA, com 67 votos registrados.
179;RIO LARGO;SAMEA RAFAELLA TORRES TENÓRIO MASCARENHAS;REPUBLICANOS;ESCOLA MUNICIPAL DR. GUSTAVO PAIVA;CJ BARNABÉ OITICICA II, SN, MATA DO ROLO;;;;;NAO_ENCONTRADO;64;580;1103;16;181;1543;REDUTO BAIXO;QUALIFICADO;REDUTO FORTE;MÉDIO;CURTO PRAZO;SAMEA RAFAELLA TORRES TENÓRIO MASCARENHAS concentra 1103.00% dos seus votos no local ESCOLA MUNICIPAL DR. GUSTAVO PAIVA, com 64 votos registrados.
180;SAO MIGUEL DOS CAMPOS;JADIELSON VIEIRA DOS SANTOS;PRD;COLEGIO MUNICIPAL LUZINETE E LINDALVA JATOBA;AV. SAMPAIO MARQUES, S/N;;;;;NAO_ENCONTRADO;61;474;1287;15;132;160;REDUTO BAIXO;QUALIFICADO;REDUTO FORTE;MÉDIO;CURTO PRAZO;JADIELSON VIEIRA DOS SANTOS concentra 1287.00% dos seus votos no local COLEGIO MUNICIPAL LUZINETE E LINDALVA JATOBA, com 61 votos registrados.
181;MACEIO;LUIZ CARLOS DOS SANTOS;REPUBLICANOS;E.M. TRADUTOR JOÃO SAMPAIO;PRAÇA CENTRAL, S/N, CONJ. JOÃO SAMPAIO I;;;;;NAO_ENCONTRADO;60;2680;224;6;457;521;REDUTO BAIXO;QUALIFICADO;REDUTO FORTE;MÉDIO;CURTO PRAZO;LUIZ CARLOS DOS SANTOS concentra 224.00% dos seus votos no local E.M. TRADUTOR JOÃO SAMPAIO, com 60 votos registrados.
182;PALMEIRA DOS INDIOS;PAULA FERNANDA FERREIRA COSTA RAMOS;PDT;COLÉGIO ESTADUAL HUMBERTO MENDES;AV GOV MUNIZ FALCÃO 701;;;;;NAO_ENCONTRADO;53;330;1606;20;137;2022;REDUTO BAIXO;QUALIFICADO;REDUTO FORTE;MÉDIO;CURTO PRAZO;PAULA FERNANDA FERREIRA COSTA RAMOS concentra 1606.00% dos seus votos no local COLÉGIO ESTADUAL HUMBERTO MENDES, com 53 votos registrados.
183;ARAPIRACA;GERALDO BALBINO DA SILVA;PT;ESCOLA DE ENSINO FUNDAMENTAL ENÉAS BENEDITO DOS SANTOS;POVOADO CANGANDU S/N;;;;;NAO_ENCONTRADO;53;385;1377;11;192;1446;REDUTO BAIXO;QUALIFICADO;REDUTO FORTE;MÉDIO;CURTO PRAZO;GERALDO BALBINO DA SILVA concentra 1377.00% dos seus votos no local ESCOLA DE ENSINO FUNDAMENTAL ENÉAS BENEDITO DOS SANTOS, com 53 votos registrados.
184;RIO LARGO;ABERILDO MARIZ FERREIRA;MDB;ESCOLA MUNICIPAL DR. GUSTAVO PAIVA;CJ BARNABÉ OITICICA II, SN, MATA DO ROLO;;;;;NAO_ENCONTRADO;52;479;1086;15;170;1465;REDUTO BAIXO;QUALIFICADO;REDUTO FORTE;MÉDIO;CURTO PRAZO;ABERILDO MARIZ FERREIRA concentra 1086.00% dos seus votos no local ESCOLA MUNICIPAL DR. GUSTAVO PAIVA, com 52 votos registrados.
185;ARAPIRACA;ALTAMIRES ALVES DA SILVA;REPUBLICANOS;ESCOLA PEDRO SURUAGY;RUA NOSSA SENHORA DA SALETE S/N;-9.7509333;-36.6431771;Itapoã;;ENCONTRADO;52;648;802;7;281;904;REDUTO BAIXO;QUALIFICADO;REDUTO FORTE;MÉDIO;CURTO PRAZO;ALTAMIRES ALVES DA SILVA concentra 802.00% dos seus votos no local ESCOLA PEDRO SURUAGY, com 52 votos registrados.
186;MACEIO;JOSÉ PAULO DA CONCEIÇÃO;REPUBLICANOS;ESC. EST. MIRAN MARROQUIM;RUA DA LIBERDADE, S/N - PIABAS;;;;;NAO_ENCONTRADO;46;320;1437;12;201;152;REDUTO BAIXO;QUALIFICADO;REDUTO RELEVANTE;BAIXO;MÉDIO PRAZO;JOSÉ PAULO DA CONCEIÇÃO concentra 1437.00% dos seus votos no local ESC. EST. MIRAN MARROQUIM, com 46 votos registrados.
187;ARAPIRACA;JOSE LUCIO DE SOUSA;PMB;ESCOLA DE 1 GRAU MANOEL LUCIO DA SILVA;RUA MANOEL LÚCIO S/N;-9.7464382;-36.6524184;Alto do Cruzeiro;;ENCONTRADO;39;654;596;12;283;1004;REDUTO BAIXO;QUALIFICADO;REDUTO RELEVANTE;BAIXO;MÉDIO PRAZO;JOSE LUCIO DE SOUSA concentra 596.00% dos seus votos no local ESCOLA DE 1 GRAU MANOEL LUCIO DA SILVA, com 39 votos registrados.
188;ARAPIRACA;VALQUIRIA RAQUEL FERREIRA DA COSTA;REPUBLICANOS;GRUPO ESCOLAR JOÃO BATISTA PEREIRA;COHAB NOVA S/N;;;;;NAO_ENCONTRADO;38;371;1024;8;199;1064;REDUTO BAIXO;QUALIFICADO;REDUTO RELEVANTE;BAIXO;MÉDIO PRAZO;VALQUIRIA RAQUEL FERREIRA DA COSTA concentra 1024.00% dos seus votos no local GRUPO ESCOLAR JOÃO BATISTA PEREIRA, com 38 votos registrados.
189;ARAPIRACA;DANIELLE KARINE NUNES SILVA;REPUBLICANOS;ESCOLA DE 1 E 2 GRAUS SENADOR RUI PALMEIRA;RUA MANOEL NUNES NETO S/N;-9.7414437;-36.6642875;Capiatá;;ENCONTRADO;38;607;626;15;267;1167;REDUTO BAIXO;QUALIFICADO;REDUTO RELEVANTE;BAIXO;MÉDIO PRAZO;DANIELLE KARINE NUNES SILVA concentra 626.00% dos seus votos no local ESCOLA DE 1 E 2 GRAUS SENADOR RUI PALMEIRA, com 38 votos registrados.
190;ARAPIRACA;JOSE CICERO DA CONCEICAO SANTOS;PMB;GRUPO ESCOLAR JOÃO BATISTA PEREIRA;COHAB NOVA S/N;;;;;NAO_ENCONTRADO;34;478;711;8;231;87;REDUTO BAIXO;QUALIFICADO;REDUTO RELEVANTE;BAIXO;MÉDIO PRAZO;JOSE CICERO DA CONCEICAO SANTOS concentra 711.00% dos seus votos no local GRUPO ESCOLAR JOÃO BATISTA PEREIRA, com 34 votos registrados.
191;MACEIO;MARCELO BARBOSA DE LIMA;REPUBLICANOS;ESCOLA DE ENSINO FUNDAMENTAL DR JOSE HAROLDO DA COSTA;CONJ. SALVADOR LIRA, S/N;;;;;NAO_ENCONTRADO;34;922;369;15;412;1006;REDUTO BAIXO;QUALIFICADO;REDUTO RELEVANTE;BAIXO;MÉDIO PRAZO;MARCELO BARBOSA DE LIMA concentra 369.00% dos seus votos no local ESCOLA DE ENSINO FUNDAMENTAL DR JOSE HAROLDO DA COSTA, com 34 votos registrados.
192;MACEIO;KAYO GUSTAVO FRAGOSO CARNEIRO DA CUNHA;REPUBLICANOS;ESCOLA DE ENSINO FUNDAMENTAL DR JOSE HAROLDO DA COSTA;CONJ. SALVADOR LIRA, S/N;;;;;NAO_ENCONTRADO;32;724;442;18;360;1193;REDUTO BAIXO;QUALIFICADO;REDUTO RELEVANTE;BAIXO;MÉDIO PRAZO;KAYO GUSTAVO FRAGOSO CARNEIRO DA CUNHA concentra 442.00% dos seus votos no local ESCOLA DE ENSINO FUNDAMENTAL DR JOSE HAROLDO DA COSTA, com 32 votos registrados.
193;RIO LARGO;JOSÉ BENEDITO LOPES PEIXOTO;MDB;ESCOLA ESTADUAL SANTOS DUMONT;BR 104 - DESTACAMENTO DA FAB - VILA MILITAR;;;;;NAO_ENCONTRADO;31;348;891;9;150;1022;REDUTO BAIXO;QUALIFICADO;REDUTO RELEVANTE;BAIXO;MÉDIO PRAZO;JOSÉ BENEDITO LOPES PEIXOTO concentra 891.00% dos seus votos no local ESCOLA ESTADUAL SANTOS DUMONT, com 31 votos registrados.
194;MACEIO;JOSAN LEITE PEREIRA BARROS;REPUBLICANOS;CRECHE ESCOLA ESPAÇO EDUCAR;RUA PROFESSOR SANDOVAL ARROXELAS, N. 510;-9.6588344;-35.7046403;Ponta Verde;;ENCONTRADO;31;368;842;16;226;1334;REDUTO BAIXO;QUALIFICADO;REDUTO RELEVANTE;BAIXO;MÉDIO PRAZO;JOSAN LEITE PEREIRA BARROS concentra 842.00% dos seus votos no local CRECHE ESCOLA ESPAÇO EDUCAR, com 31 votos registrados.
195;ARAPIRACA;MARCO CÉSAR LIMA DOS SANTOS;PMB;ESCOLA DE 1 E 2 GRAUS SENADOR RUI PALMEIRA;RUA MANOEL NUNES NETO S/N;-9.7414437;-36.6642875;Capiatá;;ENCONTRADO;25;338;74;14;206;1166;REDUTO BAIXO;QUALIFICADO;REDUTO RELEVANTE;BAIXO;MÉDIO PRAZO;MARCO CÉSAR LIMA DOS SANTOS concentra 74.00% dos seus votos no local ESCOLA DE 1 E 2 GRAUS SENADOR RUI PALMEIRA, com 25 votos registrados.
196;MACEIO;ERICKSON HOLANDA PADILHA BOMFIM;REPUBLICANOS;UNIMA / AFYA - CENTRO UNIVERSITÁRIO DE MACEIÓ (ANTIGA UNIT);AV GUSTAVO PAIVA, 5017;-9.6478561;-35.7147108;Mangabeiras;;ENCONTRADO;23;805;286;19;388;1134;REDUTO BAIXO;QUALIFICADO;REDUTO RELEVANTE;BAIXO;MÉDIO PRAZO;ERICKSON HOLANDA PADILHA BOMFIM concentra 286.00% dos seus votos no local UNIMA / AFYA - CENTRO UNIVERSITÁRIO DE MACEIÓ (ANTIGA UNIT), com 23 votos registrados.
197;ARAPIRACA;SIDNEY VIEIRA BARBOSA;REPUBLICANOS;ESCOLA DE ENSINO FUNDAMENTAL ENÉAS BENEDITO DOS SANTOS;POVOADO CANGANDU S/N;;;;;NAO_ENCONTRADO;21;332;633;9;204;852;REDUTO BAIXO;QUALIFICADO;REDUTO RELEVANTE;BAIXO;MÉDIO PRAZO;SIDNEY VIEIRA BARBOSA concentra 633.00% dos seus votos no local ESCOLA DE ENSINO FUNDAMENTAL ENÉAS BENEDITO DOS SANTOS, com 21 votos registrados.
198;MACEIO;LEANDRO ROSA DE SOUZA;REPUBLICANOS;UNIMA / AFYA - CENTRO UNIVERSITÁRIO DE MACEIÓ (ANTIGA UNIT);AV GUSTAVO PAIVA, 5017;-9.6478561;-35.7147108;Mangabeiras;;ENCONTRADO;21;517;406;17;309;1106;REDUTO BAIXO;QUALIFICADO;REDUTO RELEVANTE;BAIXO;MÉDIO PRAZO;LEANDRO ROSA DE SOUZA concentra 406.00% dos seus votos no local UNIMA / AFYA - CENTRO UNIVERSITÁRIO DE MACEIÓ (ANTIGA UNIT), com 21 votos registrados.
199;MACEIO;NIVALDO MESSIAS DA SILVA JUNIOR;REPUBLICANOS;COLÉGIO DLINS;RUA PEDROSA, 225;-9.5765452;-35.7676922;Salvador Lyra;;ENCONTRADO;20;699;286;11;389;74;REDUTO BAIXO;QUALIFICADO;REDUTO RELEVANTE;BAIXO;MÉDIO PRAZO;NIVALDO MESSIAS DA SILVA JUNIOR concentra 286.00% dos seus votos no local COLÉGIO DLINS, com 20 votos registrados.
