ranking_reduto_qualificado;municipio;vereador;partido;local_principal;endereco_local_principal;latitude;longitude;bairro;distrito;status_geocodificacao;votos_local_principal;votos_totais_vereador;percentual_local_principal;qtd_secoes_controladas;total_secoes_vereador;indice_reduto;classificacao_reduto;status_reduto;nivel_reduto;potencial_transferencia;prioridade_agenda;observacao_estrategica
54;DELMIRO GOUVEIA;MAREVAL FERREIRA DA SILVA;MDB;FRANCISCA ROSA DA COSTA,GRUPO ESCOLAR;RUA SARGENTO REGINALDO BANDEIRA, 342;;;;;NAO_ENCONTRADO;245;1353;1811;8;143;1861;REDUTO BAIXO;QUALIFICADO;REDUTO ESTRATÉGICO;ALTO;AGENDA IMEDIATA;MAREVAL FERREIRA DA SILVA concentra 1811.00% dos seus votos no local FRANCISCA ROSA DA COSTA,GRUPO ESCOLAR, com 245 votos registrados.
55;CORURIPE;GUTTENBERG BRÊDA SOBRINHO;MDB;ESCOLA ESTADUAL DJALMA BARROS SIQUEIRA;RUA PERNAMBUCO NOVO, S/N;;;;;NAO_ENCONTRADO;242;1347;1797;12;116;2043;REDUTO BAIXO;QUALIFICADO;REDUTO ESTRATÉGICO;ALTO;AGENDA IMEDIATA;GUTTENBERG BRÊDA SOBRINHO concentra 1797.00% dos seus votos no local ESCOLA ESTADUAL DJALMA BARROS SIQUEIRA, com 242 votos registrados.
56;CORURIPE;ADGER DA ROCHA MARIA JUNIOR;PP;ESCOLA MUNICIPAL FRANCISCO AMALIO MARIA;RUA DO CAJUEIRO, S/N;-10.1585695;-36.135133;Coruripe;;ENCONTRADO;241;1280;1883;7;117;1849;REDUTO BAIXO;QUALIFICADO;REDUTO ESTRATÉGICO;ALTO;AGENDA IMEDIATA;ADGER DA ROCHA MARIA JUNIOR concentra 1883.00% dos seus votos no local ESCOLA MUNICIPAL FRANCISCO AMALIO MARIA, com 241 votos registrados.
57;CORURIPE;FERNANDO ALEXANDRE MAGNO SILVA VIEIRA CHAVES;MDB;ESCOLA MUNICIPAL CLAUDIO DANIEL GAMA AMORIM;RUA JOSÉ RAIMUNDO DOS SANTOS, 40;-10.118516;-36.1800084;Coruripe;;ENCONTRADO;234;1181;1981;13;119;219;REDUTO BAIXO;QUALIFICADO;REDUTO ESTRATÉGICO;ALTO;AGENDA IMEDIATA;FERNANDO ALEXANDRE MAGNO SILVA VIEIRA CHAVES concentra 1981.00% dos seus votos no local ESCOLA MUNICIPAL CLAUDIO DANIEL GAMA AMORIM, com 234 votos registrados.
58;PALMEIRA DOS INDIOS;SALOMÃO CAVALCANTE TORRES;MDB;COLÉGIO ESTADUAL HUMBERTO MENDES;AV GOV MUNIZ FALCÃO 701;;;;;NAO_ENCONTRADO;233;1352;1723;22;167;2472;REDUTO BAIXO;QUALIFICADO;REDUTO ESTRATÉGICO;ALTO;AGENDA IMEDIATA;SALOMÃO CAVALCANTE TORRES concentra 1723.00% dos seus votos no local COLÉGIO ESTADUAL HUMBERTO MENDES, com 233 votos registrados.
59;RIO LARGO;ANIELLE PATRÍCIA SILVA DO LIVRAMENTO;PL;COMPLEXO ESTADUAL PROFA CLAUDIZETE LIMA ELEUTERIO;CONJ GURIATA, S/N;;;;;NAO_ENCONTRADO;230;744;3091;12;122;280;REDUTO BAIXO;QUALIFICADO;REDUTO ESTRATÉGICO;ALTO;AGENDA IMEDIATA;ANIELLE PATRÍCIA SILVA DO LIVRAMENTO concentra 3091.00% dos seus votos no local COMPLEXO ESTADUAL PROFA CLAUDIZETE LIMA ELEUTERIO, com 230 votos registrados.
60;DELMIRO GOUVEIA;MARCOS ANTONIO SILVA;MDB;WATSON DE GUSMAO, ESCOLA DE 1 E 2 GRAUS;RUA HENRIQUE DIAS, S/N;-9.3850082;-38.0068886;Eldorado;;ENCONTRADO;230;1850;1243;15;147;1838;REDUTO BAIXO;QUALIFICADO;REDUTO ESTRATÉGICO;ALTO;AGENDA IMEDIATA;MARCOS ANTONIO SILVA concentra 1243.00% dos seus votos no local WATSON DE GUSMAO, ESCOLA DE 1 E 2 GRAUS, com 230 votos registrados.
61;UNIAO DOS PALMARES;GUSTAVO THADEU PAULINO PEDROZA;PDT;COLEGIO DR. MARIO GOMES DE BARROS;RUA JARDIM BRASILIA 378;-9.1545653;-36.0312271;União dos Palmares;;ENCONTRADO;225;1503;1497;17;141;208;REDUTO BAIXO;QUALIFICADO;REDUTO ESTRATÉGICO;ALTO;AGENDA IMEDIATA;GUSTAVO THADEU PAULINO PEDROZA concentra 1497.00% dos seus votos no local COLEGIO DR. MARIO GOMES DE BARROS, com 225 votos registrados.
62;UNIAO DOS PALMARES;ALMIR BELARMINO DA SILVA;PDT;COLEGIO DE ENSINO FUNDAMENTAL MONSENHOR CLOVIS DUARTE DE BARROS;RUA JARDIM BRASILIA;-9.1545653;-36.0312271;União dos Palmares;;ENCONTRADO;222;1562;1421;16;141;1981;REDUTO BAIXO;QUALIFICADO;REDUTO ESTRATÉGICO;ALTO;AGENDA IMEDIATA;ALMIR BELARMINO DA SILVA concentra 1421.00% dos seus votos no local COLEGIO DE ENSINO FUNDAMENTAL MONSENHOR CLOVIS DUARTE DE BARROS, com 222 votos registrados.
63;UNIAO DOS PALMARES;GIVANILDO GOMES DA SILVA;MDB;ESCOLA ESTADUAL CARLOS GOMES DE BARROS;AV. JOÃO LYRA FILHO, S/N;;;;;NAO_ENCONTRADO;220;1597;1378;16;141;1952;REDUTO BAIXO;QUALIFICADO;REDUTO ESTRATÉGICO;ALTO;AGENDA IMEDIATA;GIVANILDO GOMES DA SILVA concentra 1378.00% dos seus votos no local ESCOLA ESTADUAL CARLOS GOMES DE BARROS, com 220 votos registrados.
