municipio,prefeito,vice_prefeito,partido,numero,votos_prefeito,percentual_prefeito,segundo_colocado,partido_segundo_colocado,votos_segundo_colocado,percentual_segundo_colocado,margem_vitoria_votos,margem_vitoria_pct,status_extracao,arquivo_origem
Minador Do Negrão,JOSIAS SOARES DA SILVA,HELDER ARAUJO SOUZA BARROS,MDB,15,2702,63.56,JOSE EMILIO TENORIO BARROS,PSB,1549.0,36.44,1153.0,27.120000000000005,OK,619_AL_MINADOR-DO-NEGRÃO_2024_T1.pdf
Monteirópolis,LEONOR MELO MONTEIRO,FABIO MARCELO MONTEIRO JÚNIOR,MDB,15,2863,57.92,LIDIA DIELLY SILVA SANTOS,PODE,2080.0,42.08,783.0,15.840000000000003,OK,619_AL_MONTEIRÓPOLIS_2024_T1.pdf
Murici,REMI VASCONCELOS CALHEIROS FILHO,DAYVIDSON TENÓRIO VASCONCELOS,MDB,15,10363,66.01,EDUARDO CESAR DE OLIVEIRA,PP,4338.0,27.63,6025.0,38.38000000000001,OK,619_AL_MURICI_2024_T1.pdf
Novo Lino,MARCELA SILVA GOMES DE BARROS,RIVALDO DA SILVA GOMES,MDB,15,5935,75.24,JOSE EDUARDO DOS SANTOS SALES,PL,1953.0,24.76,3982.0,50.47999999999999,OK,619_AL_NOVO-LINO_2024_T1.pdf
Olho D'Água Das Flores,JOSÉ LUIZ VASCONCELLOS DOS ANJOS,CLEMENS SANTANA MACHADO,MDB,15,8611,70.26,ALYSON FELIX DUARTE DANTAS,PL,3400.0,27.74,5211.0,42.52000000000001,OK,619_AL_OLHO-D'ÁGUA-DAS-FLORES_2024_T1.pdf
Olho D'Água Do Casado,CARLOS ALBERTO BEZERRA DA SILVA,JOÃO DE DEUS DIAS DOS SANTOS,PT,13,3267,53.46,MARCOS VIEIRA SOUSA,MDB,2403.0,39.32,864.0,14.14,OK,619_AL_OLHO-D'ÁGUA-DO-CASADO_2024_T1.pdf
Olho D'Água Grande,MARIA SUZANICE HIGINO BAHÉ,WILLAMARA SOUSA DA SILVA,PP,11,2813,63.27,TEREZA DE FATIMA BARBOSA CEDRIM,REPUBLICANOS,1633.0,36.73,1180.0,26.540000000000006,OK,619_AL_OLHO-D'ÁGUA-GRANDE_2024_T1.pdf
Olivença,JOSIMAR DIONISIO,MAURO FERNANDES DA SILVA,MDB,15,4857,59.37,JORGINALDO VIEIRA DE MENESES,REPUBLICANOS,3324.0,40.63,1533.0,18.739999999999995,OK,619_AL_OLIVENÇA_2024_T1.pdf
Ouro Branco,TACIA DENYSE DE SIQUEIRA NOBRE,JOSE ROBERIO DA SILVA,PP,11,5480,67.21,ATEVALDO CABRAL SILVA,MDB,2673.0,32.79,2807.0,34.419999999999995,OK,619_AL_OURO-BRANCO_2024_T1.pdf
Palestina,JOSÉ DJALMA GONÇALVES DA SILVA,ONOFRE COSTA DA SILVA,MDB,15,3292,83.17,DINO CÉSAR DO NASCIMENTO,PP,666.0,16.83,2626.0,66.34,OK,619_AL_PALESTINA_2024_T1.pdf
Palmeira Dos Índios,LUISA JULIA DUARTE,SHEILA MARIA DUARTE,MDB,15,23994,57.43,MOSABELLE RODRIGUES BRASILEIRO MONTEIRO,REPUBLICANOS,13192.0,31.57,10802.0,25.86,OK,619_AL_PALMEIRA-DOS-ÍNDIOS_2024_T1.pdf
Pariconha,ANTONIO TELMO NOIA,MARIA DE FATIMA FARIAS DE PAULA CARVALHO,MDB,15,4892,67.08,PEDRO PEREIRA DE SÁ JUNIOR,PT,2401.0,32.92,2491.0,34.16,OK,619_AL_PARICONHA_2024_T1.pdf
