rank,municipio,populacao_estimada_2024,eleitorado_2024,taxa_eleitorado,taxa_eleitorado_pct,participacao_populacao,participacao_populacao_pct,participacao_eleitorado,participacao_eleitorado_pct,indice_estrategico_inicial,indice_estrategico_pct,prioridade_politica
81,Carneiros,9200.0,7662,0.8328260869565217,83.28260869565217,0.0028570505797328,0.28570505797328,0.0031364439062849,0.31364439062849,0.0030526259083192,0.30526259083192,Baixa Prioridade
82,São Brás,6557.0,7404,1.1291749275583347,112.91749275583346,0.0020362696360117,0.20362696360117002,0.003030831464648,0.3030831464648,0.0027324629160571,0.27324629160571,Baixa Prioridade
83,Chã Preta,6010.0,7014,1.1670549084858568,116.70549084858568,0.001866399346108,0.1866399346108,0.0028711847505458,0.28711847505458,0.0025697491292145,0.25697491292144997,Baixa Prioridade
84,Paulo Jacinto,6697.0,6749,1.007764670748096,100.7764670748096,0.0020797464926598,0.20797464926598,0.0027627068550661,0.27627068550661,0.0025578187463442,0.25578187463442,Baixa Prioridade
85,Monteirópolis,7341.0,6489,0.8839395177768696,88.39395177768696,0.0022797400332411,0.22797400332411002,0.0026562757123313,0.26562757123312997,0.0025433150086042,0.25433150086042,Baixa Prioridade
86,Santa Luzia do Norte,7065.0,6506,0.9208775654635528,92.08775654635528,0.0021940285158491,0.21940285158491002,0.002663234671664,0.2663234671664,0.0025224728249195,0.25224728249195,Baixa Prioridade
87,Campestre,6807.0,6291,0.9241956809167032,92.41956809167033,0.0021139068800262,0.21139068800262,0.0025752243036333,0.25752243036333,0.0024368290765511,0.24368290765510997,Baixa Prioridade
88,Belo Monte,5898.0,6271,1.0632417768735165,106.32417768735165,0.0018316178607895,0.18316178607895,0.0025670372926537,0.25670372926537,0.0023464114630944,0.23464114630944002,Baixa Prioridade
89,Roteiro,6607.0,6014,0.9102467080369304,91.02467080369304,0.0020517970848146,0.20517970848146,0.0024618342015658,0.24618342015658,0.0023388230665404,0.23388230665404003,Baixa Prioridade
90,Jacuípe,5432.0,6216,1.1443298969072164,114.43298969072164,0.0016869020379466,0.16869020379466,0.0025445230124598,0.25445230124598,0.0022872367201058,0.22872367201058,Baixa Prioridade
91,Tanque d'Arca,5909.0,5959,1.008461668641056,100.84616686410558,0.0018350338995262,0.18350338995262,0.0024393199213719,0.24393199213719,0.0022580341148182,0.22580341148182,Baixa Prioridade
