rank_estrategico,municipio,lideranca_principal,cargo_lideranca,tipo_lideranca,vice_prefeito,partido_lideranca,numero_partido,votos_lideranca,percentual_lideranca,eleitorado_2024,indice_estrategico_pct,prioridade_politica,visitado_pre_campanha,quantidade_visitas,ultima_visita,grupo_politico,relacao_davi,classificacao_relacao,prioridade_articulacao,acao_recomendada,observacoes_politicas
81,Carneiros,UBIRATANIA MARIA SANTANA,Prefeito,Executivo Municipal,JANAÍNE SOARES MACHADO,MDB,15,4002,67.29,7662,0.30526259083192,Baixa Prioridade,False,0,,,,,Monitoramento,Monitorar oportunidade de articulação futura.,
82,São Brás,KLINGER QUIRINO SANTOS,Prefeito,Executivo Municipal,MARIA FABIANA DA SILVA SANDES,MDB,15,4123,67.17,7404,0.27324629160571,Baixa Prioridade,False,0,,,,,Monitoramento,Monitorar oportunidade de articulação futura.,
83,Chã Preta,MAURICIO DE VASCONCELOS HOLANDA,Prefeito,Executivo Municipal,VICTOR SALVIO CANUTO TEIXEIRA,MDB,15,3892,69.38,7014,0.2569749129214499,Baixa Prioridade,False,0,,,,,Monitoramento,Monitorar oportunidade de articulação futura.,
84,Paulo Jacinto,FRANCISCO MANOEL FERREIRA FONTAN,Prefeito,Executivo Municipal,MARIA ZILDA DE ASSUNÇÃO TENÓRIO,PP,11,3233,59.8,6749,0.25578187463442,Baixa Prioridade,False,0,,,,,Monitoramento,Monitorar oportunidade de articulação futura.,
85,Monteirópolis,LEONOR MELO MONTEIRO,Prefeito,Executivo Municipal,FABIO MARCELO MONTEIRO JÚNIOR,MDB,15,2863,57.92,6489,0.25433150086042,Baixa Prioridade,False,0,,,,,Monitoramento,Monitorar oportunidade de articulação futura.,
86,Santa Luzia do Norte,FRANCIS CORREIA BARROS DE ARAÚJO,Prefeito,Executivo Municipal,LAUDEMIR BALBINO DOS SANTOS,PP,11,3300,60.07,6506,0.25224728249195,Baixa Prioridade,False,0,,,,,Monitoramento,Monitorar oportunidade de articulação futura.,
87,Campestre,NELSON MENDES DA SILVA NETO,Prefeito,Executivo Municipal,JOSIAS ANTONIO DA SILVA,MDB,15,3449,68.87,6291,0.2436829076551099,Baixa Prioridade,False,0,,,,,Monitoramento,Monitorar oportunidade de articulação futura.,
88,Belo Monte,DALMO AUGUSTO DE ALMEIDA JÚNIOR,Prefeito,Executivo Municipal,ANTONIO JEREMIAS FEITOSA,MDB,15,3882,79.79,6271,0.23464114630944,Baixa Prioridade,False,0,,,,,Monitoramento,Monitorar oportunidade de articulação futura.,
89,Roteiro,PAULO JOSÉ LEITE TEIXEIRA,Prefeito,Executivo Municipal,JOSIVALDO AUGUSTO DA SILVA,MDB,15,2537,52.41,6014,0.23388230665404,Baixa Prioridade,False,0,,,,,Monitoramento,Monitorar oportunidade de articulação futura.,
90,Jacuípe,MAYARA CRISTINA CAVALCANTE DE FREITAS,Prefeito,Executivo Municipal,JOSE SEVERINO DA SILVA,MDB,15,3718,73.58,6216,0.22872367201058,Baixa Prioridade,False,0,,,,,Monitoramento,Monitorar oportunidade de articulação futura.,
