municipio;local_votacao;endereco_local_votacao;qtd_secoes;qtd_vereadores;votos_totais;chave_local
MARECHAL DEODORO;ESCOLA MUNICIPAL GOVERNADOR LUIZ CAVALCANTE;RODOVIA EDVAL LEMOS;11;31;1530;MARECHAL DEODORO|ESCOLA MUNICIPAL GOVERNADOR LUIZ CAVALCANTE|RODOVIA EDVAL LEMOS
MARECHAL DEODORO;INSTITUTO FEDERAL DE ALAGOAS IF/AL;RUA LOURIVAL ALFREDO N 176;10;29;1339;MARECHAL DEODORO|INSTITUTO FEDERAL DE ALAGOAS IF/AL|RUA LOURIVAL ALFREDO N 176
MARECHAL DEODORO;ESCOLA MUNICIPAL ALTINA RIBEIRO TOLEDO;VILA ALTINA SN;8;27;1189;MARECHAL DEODORO|ESCOLA MUNICIPAL ALTINA RIBEIRO TOLEDO|VILA ALTINA SN
MARECHAL DEODORO;ESCOLA ESTADUAL JOSÉ CORREIA DA SILVA TITARA;LOT BOSQUE DA MASSAGUEIRA N 3A;9;31;1166;MARECHAL DEODORO|ESCOLA ESTADUAL JOSE CORREIA DA SILVA TITARA|LOT BOSQUE DA MASSAGUEIRA N 3A
MARECHAL DEODORO;ESCOLA MUNICIPAL PREFEITO MANOEL MESSIAS DOS SANTOS;RUA SALVADOR S/N LOT. LUAR DO FRANCÊS;8;29;1118;MARECHAL DEODORO|ESCOLA MUNICIPAL PREFEITO MANOEL MESSIAS DOS SANTOS|RUA SALVADOR S/N LOT. LUAR DO FRANCES
MARECHAL DEODORO;ESCOLA MUNICIPAL CARLOS AVELINO DA SILVA;RES MARIA GISLENE MATHEUS, S/N;6;26;1055;MARECHAL DEODORO|ESCOLA MUNICIPAL CARLOS AVELINO DA SILVA|RES MARIA GISLENE MATHEUS, S/N
MARECHAL DEODORO;ESCOLA MUNICIPAL MARIA PETRONILA DE GOUVEA;RUA MARINITA DE GOUVEIA SN;8;34;1031;MARECHAL DEODORO|ESCOLA MUNICIPAL MARIA PETRONILA DE GOUVEA|RUA MARINITA DE GOUVEIA SN
MARECHAL DEODORO;NEI TÂNIA CAVALCANTE;AV CATUÇABA SN;6;24;979;MARECHAL DEODORO|NEI TANIA CAVALCANTE|AV CATUCABA SN
MARECHAL DEODORO;ESCOLA MUNICIPAL JOSÉ BISPO DA SILVA;AV. CATUÇABA, S/N;5;23;940;MARECHAL DEODORO|ESCOLA MUNICIPAL JOSE BISPO DA SILVA|AV. CATUCABA, S/N
MARECHAL DEODORO;ESCOLA MUNICIPAL DR. CLÁUDIO ROBERTO COSTA DOS SANTOS;AV BENEDITO AGNELO DE LIMA SN;6;28;932;MARECHAL DEODORO|ESCOLA MUNICIPAL DR. CLAUDIO ROBERTO COSTA DOS SANTOS|AV BENEDITO AGNELO DE LIMA SN
MARECHAL DEODORO;NEI ADÉLIA CAVALCANTE COSTA;RUA DOS CAJUEIROS;5;28;887;MARECHAL DEODORO|NEI ADELIA CAVALCANTE COSTA|RUA DOS CAJUEIROS
MARECHAL DEODORO;ESCOLA ESTADUAL DEODORO DA FONSECA;PRACA PEDRO PAULINO SN;7;31;870;MARECHAL DEODORO|ESCOLA ESTADUAL DEODORO DA FONSECA|PRACA PEDRO PAULINO SN
MARECHAL DEODORO;NEI MARIA IRENE DA SILVA;AV VIOLETA SN RD DENISSON AMORIM;5;26;782;MARECHAL DEODORO|NEI MARIA IRENE DA SILVA|AV VIOLETA SN RD DENISSON AMORIM
MARECHAL DEODORO;ESCOLA MUNICIPAL DR. JOVINIANO DE ALMEIDA RODAS;RUA SAO PEDRO SN;6;31;744;MARECHAL DEODORO|ESCOLA MUNICIPAL DR. JOVINIANO DE ALMEIDA RODAS|RUA SAO PEDRO SN
MARECHAL DEODORO;ESCOLA MUNICIPAL D. MARIA DE ARAUJO LOBO;BECO DA BARRA;5;28;740;MARECHAL DEODORO|ESCOLA MUNICIPAL D. MARIA DE ARAUJO LOBO|BECO DA BARRA
MARECHAL DEODORO;ESCOLA SESI - PROF. WILTON GAMA;RUA TENENTE JOSÉ TOMÉ SN;5;29;652;MARECHAL DEODORO|ESCOLA SESI - PROF. WILTON GAMA|RUA TENENTE JOSE TOME SN
MARECHAL DEODORO;ESCOLA MUNICIPAL ADELINA DE CARVALHO MELO;RUA ADELINA DE CARVALHO MELO SN;3;21;557;MARECHAL DEODORO|ESCOLA MUNICIPAL ADELINA DE CARVALHO MELO|RUA ADELINA DE CARVALHO MELO SN
MARECHAL DEODORO;ESCOLA PROFESSORA ELEUZA GALVÃO RODAS;RUA ARTHUR PAIVA REGO SN;4;28;542;MARECHAL DEODORO|ESCOLA PROFESSORA ELEUZA GALVAO RODAS|RUA ARTHUR PAIVA REGO SN
MARECHAL DEODORO;ESCOLA MUNICIPAL PREFEITO EDIVAL LEMOS SANTOS;AV. SAO JOSE POEIRA SN;4;24;536;MARECHAL DEODORO|ESCOLA MUNICIPAL PREFEITO EDIVAL LEMOS SANTOS|AV. SAO JOSE POEIRA SN
MARECHAL DEODORO;UBS - MARIA DO CARMO ARAÚJO SOARES;RUA ADELINA DE CARVALHO MELO, S/N;3;19;451;MARECHAL DEODORO|UBS - MARIA DO CARMO ARAUJO SOARES|RUA ADELINA DE CARVALHO MELO, S/N
PALMEIRA DOS INDIOS;COLÉGIO ESTADUAL HUMBERTO MENDES;AV GOV MUNIZ FALCÃO 701;22;36;2911;PALMEIRA DOS INDIOS|COLEGIO ESTADUAL HUMBERTO MENDES|AV GOV MUNIZ FALCAO 701
PALMEIRA DOS INDIOS;COLÉGIO CRISTO REDENTOR;AV. DEP. MEDEIROS NETO 51;21;41;2870;PALMEIRA DOS INDIOS|COLEGIO CRISTO REDENTOR|AV. DEP. MEDEIROS NETO 51
PALMEIRA DOS INDIOS;COLÉGIO SAGRADA FAMILIA;RUA DOM BOSCO 15;14;35;2087;PALMEIRA DOS INDIOS|COLEGIO SAGRADA FAMILIA|RUA DOM BOSCO 15
PALMEIRA DOS INDIOS;ESCOLA MUNICIPAL DOUTOR GERSON JATOBÁ LEITE;AV. BRASÍLIA, N. 39;16;33;1862;PALMEIRA DOS INDIOS|ESCOLA MUNICIPAL DOUTOR GERSON JATOBA LEITE|AV. BRASILIA, N. 39
PALMEIRA DOS INDIOS;ESCOLA MUNICIPAL MARCELO MINERVO DOS SANTOS PIMENTEL;AV GRACILIANO RAMOS, 246;14;34;1527;PALMEIRA DOS INDIOS|ESCOLA MUNICIPAL MARCELO MINERVO DOS SANTOS PIMENTEL|AV GRACILIANO RAMOS, 246
PALMEIRA DOS INDIOS;FACULDADE CESMAC DO SERTÃO;RUA BRAÚLIO MONTENEGRO, S/N, VILA MARIA;10;34;1505;PALMEIRA DOS INDIOS|FACULDADE CESMAC DO SERTAO|RUA BRAULIO MONTENEGRO, S/N, VILA MARIA
PALMEIRA DOS INDIOS;GRUPO ESCOLAR ALMEIDA CAVALCANTE;RUA DUQUE DE CAXIAS SN;8;33;1182;PALMEIRA DOS INDIOS|GRUPO ESCOLAR ALMEIDA CAVALCANTE|RUA DUQUE DE CAXIAS SN
PALMEIRA DOS INDIOS;GRUPO ESCOLAR GRACILIANO RAMOS;RUA 15 DE NOVEMBRO SN ;9;36;1176;PALMEIRA DOS INDIOS|GRUPO ESCOLAR GRACILIANO RAMOS|RUA 15 DE NOVEMBRO SN
PALMEIRA DOS INDIOS;ESCOLA DE 1 GRAU ESTADO DE NOVA GERSEY;RUA SEBASTIÃO LIMA SN;8;33;1128;PALMEIRA DOS INDIOS|ESCOLA DE 1 GRAU ESTADO DE NOVA GERSEY|RUA SEBASTIAO LIMA SN
PALMEIRA DOS INDIOS;GRUPO ESCOLAR MONSENHOR MACEDO;RUA 15 DE NOVEMBRO SN ;7;32;1040;PALMEIRA DOS INDIOS|GRUPO ESCOLAR MONSENHOR MACEDO|RUA 15 DE NOVEMBRO SN
PALMEIRA DOS INDIOS;INSTITUTO FEDERAL DE ALAGOAS - IFAL;PALMEIRA DE FORA;6;29;949;PALMEIRA DOS INDIOS|INSTITUTO FEDERAL DE ALAGOAS - IFAL|PALMEIRA DE FORA
PALMEIRA DOS INDIOS;GRUPO ESCOLAR ANTÔNIA MACEDO;RUA CEL ANTÔNIO PANTALEÃO SN;5;28;864;PALMEIRA DOS INDIOS|GRUPO ESCOLAR ANTONIA MACEDO|RUA CEL ANTONIO PANTALEAO SN
PALMEIRA DOS INDIOS;ESCOLA ESTADUAL MANOEL PASSOS LIMA;RUA GERVÁSIO MOREIRA, S/N;4;29;646;PALMEIRA DOS INDIOS|ESCOLA ESTADUAL MANOEL PASSOS LIMA|RUA GERVASIO MOREIRA, S/N
