ranking_reduto_qualificado;municipio;vereador;partido;local_prioritario;bairro;distrito;endereco_local_prioritario;latitude;longitude;votos_local_principal;votos_totais_vereador;percentual_local_principal;nivel_reduto;prioridade_agenda;potencial_transferencia;observacao_estrategica
63;UNIAO DOS PALMARES;GIVANILDO GOMES DA SILVA;MDB;ESCOLA ESTADUAL CARLOS GOMES DE BARROS;;;AV. JOÃO LYRA FILHO, S/N;;;220;1597;1378;REDUTO ESTRATÉGICO;AGENDA IMEDIATA;ALTO;GIVANILDO GOMES DA SILVA concentra 1378.00% dos seus votos no local ESCOLA ESTADUAL CARLOS GOMES DE BARROS, com 220 votos registrados.
64;ARAPIRACA;MELQUISEDEC DE OLIVEIRA;MDB;GRUPO ESCOLAR ANTÔNIO CEZÁRIO DE OLIVEIRA;;;VILA SAÕ JOSÉ S/N;;;215;2131;1009;REDUTO ESTRATÉGICO;AGENDA IMEDIATA;ALTO;MELQUISEDEC DE OLIVEIRA concentra 1009.00% dos seus votos no local GRUPO ESCOLAR ANTÔNIO CEZÁRIO DE OLIVEIRA, com 215 votos registrados.
65;ARAPIRACA;THIAGO SEVERINO LOPES DOS SANTOS;UNIÃO;GRUPO ESCOLAR ANTÔNIO CEZÁRIO DE OLIVEIRA;;;VILA SAÕ JOSÉ S/N;;;214;2101;1019;REDUTO ESTRATÉGICO;AGENDA IMEDIATA;ALTO;THIAGO SEVERINO LOPES DOS SANTOS concentra 1019.00% dos seus votos no local GRUPO ESCOLAR ANTÔNIO CEZÁRIO DE OLIVEIRA, com 214 votos registrados.
66;SAO MIGUEL DOS CAMPOS;ROBSON ALFREDO DA SILVA MOURA;MDB;ESCOLA MUNICIPAL DESEMBARGADOR JOSE FERNANDO LIMA SOUZA;São Miguel dos Campos;;RODOVIA BR 101, KM 69;-9.741431;-36.0611185;213;1435;1484;REDUTO ESTRATÉGICO;AGENDA IMEDIATA;ALTO;ROBSON ALFREDO DA SILVA MOURA concentra 1484.00% dos seus votos no local ESCOLA MUNICIPAL DESEMBARGADOR JOSE FERNANDO LIMA SOUZA, com 213 votos registrados.
67;MACEIO;THALES LUIZ PEIXOTO CAVALCANTE;PSB;ESCOLA ESTADUAL DEPUTADO NENOI PINTO;Jacintinho;;RUA MUNIZ FALCAO, S/N;-9.649823;-35.7216764;212;5833;363;REDUTO ESTRATÉGICO;AGENDA IMEDIATA;ALTO;THALES LUIZ PEIXOTO CAVALCANTE concentra 363.00% dos seus votos no local ESCOLA ESTADUAL DEPUTADO NENOI PINTO, com 212 votos registrados.
68;MARECHAL DEODORO;YURI CORTEZ DE MENEZES;MDB;ESCOLA MUNICIPAL JOSÉ BISPO DA SILVA;Marechal Deodoro;;AV. CATUÇABA, S/N;-9.7180783;-35.8235422;211;1608;1312;REDUTO ESTRATÉGICO;AGENDA IMEDIATA;ALTO;YURI CORTEZ DE MENEZES concentra 1312.00% dos seus votos no local ESCOLA MUNICIPAL JOSÉ BISPO DA SILVA, com 211 votos registrados.
69;SAO MIGUEL DOS CAMPOS;JOSIVALDO JOSÉ DA SILVA;PDT;COLEGIO MUNICIPAL LUZINETE E LINDALVA JATOBA;;;AV. SAMPAIO MARQUES, S/N;;;210;1991;1055;REDUTO ESTRATÉGICO;AGENDA IMEDIATA;ALTO;JOSIVALDO JOSÉ DA SILVA concentra 1055.00% dos seus votos no local COLEGIO MUNICIPAL LUZINETE E LINDALVA JATOBA, com 210 votos registrados.
70;PENEDO;IVO CARLOS MOURA COSTA;PV;COLÉGIO DIOCESANO DE PENEDO;;;PÇA. LARGO DE FÁTIMA, PX. À 9A. COORDENADORIA DE ENSINO DE ALAGOAS;;;206;1375;1498;REDUTO ESTRATÉGICO;AGENDA IMEDIATA;ALTO;IVO CARLOS MOURA COSTA concentra 1498.00% dos seus votos no local COLÉGIO DIOCESANO DE PENEDO, com 206 votos registrados.
71;RIO LARGO;JOSE CARLOS REIS DOS SANTOS FILHO;PP;GRUPO ESCOLAR OZORIA MOURA DE LIMA;;;RUA  ANTONIO ELIAS CALHEIROS S/N;;;206;1906;1081;REDUTO ESTRATÉGICO;AGENDA IMEDIATA;ALTO;JOSE CARLOS REIS DOS SANTOS FILHO concentra 1081.00% dos seus votos no local GRUPO ESCOLAR OZORIA MOURA DE LIMA, com 206 votos registrados.
72;MARECHAL DEODORO;THIAGO HENRIQUE GONDIN TORRES;PDT;ESCOLA ESTADUAL ROSA MARIA PAULINA DA FONSECA;Centro;;AV SÃO JOSÉ SN;-9.7102397;-35.8959836;203;2023;1003;REDUTO ESTRATÉGICO;AGENDA IMEDIATA;ALTO;THIAGO HENRIQUE GONDIN TORRES concentra 1003.00% dos seus votos no local ESCOLA ESTADUAL ROSA MARIA PAULINA DA FONSECA, com 203 votos registrados.
73;MARECHAL DEODORO;EVERALDO PEREIRA LOPES JUNIOR;PSB;ESCOLA ESTADUAL ROSA MARIA PAULINA DA FONSECA;Centro;;AV SÃO JOSÉ SN;-9.7102397;-35.8959836;201;1790;1123;REDUTO ESTRATÉGICO;AGENDA IMEDIATA;ALTO;EVERALDO PEREIRA LOPES JUNIOR concentra 1123.00% dos seus votos no local ESCOLA ESTADUAL ROSA MARIA PAULINA DA FONSECA, com 201 votos registrados.
74;MACEIO;RUI SOARES PALMEIRA;PSD;CRECHE ESCOLA ESPAÇO EDUCAR;Ponta Verde;;RUA PROFESSOR SANDOVAL ARROXELAS, N. 510;-9.6588344;-35.7046403;201;5498;366;REDUTO ESTRATÉGICO;AGENDA IMEDIATA;ALTO;RUI SOARES PALMEIRA concentra 366.00% dos seus votos no local CRECHE ESCOLA ESPAÇO EDUCAR, com 201 votos registrados.
75;ARAPIRACA;PABLO EMANUEL DA SILVA;PP;ESCOLA DE 1 GRAU PROFESSOR JAYME DE ALTAVILLA;Centro;;RUA SANTOS DUMONT, 623;-9.7498653;-36.6655146;199;2873;693;REDUTO ESTRATÉGICO;AGENDA IMEDIATA;ALTO;PABLO EMANUEL DA SILVA concentra 693.00% dos seus votos no local ESCOLA DE 1 GRAU PROFESSOR JAYME DE ALTAVILLA, com 199 votos registrados.
76;ARAPIRACA;WALLYSSON BISPO DA SILVA;PP;COLÉGIO QUINTELA CAVALCANTE;Eldorado;;AV. VENTURA DE FARIAS S/N;-9.7466266;-36.6673366;197;4343;454;REDUTO ESTRATÉGICO;AGENDA IMEDIATA;ALTO;WALLYSSON BISPO DA SILVA concentra 454.00% dos seus votos no local COLÉGIO QUINTELA CAVALCANTE, com 197 votos registrados.
77;PALMEIRA DOS INDIOS;LUCIO CARLOS FONSECA MEDEIROS;UNIÃO;COLÉGIO ESTADUAL HUMBERTO MENDES;;;AV GOV MUNIZ FALCÃO 701;;;196;1145;1712;REDUTO ESTRATÉGICO;AGENDA IMEDIATA;ALTO;LUCIO CARLOS FONSECA MEDEIROS concentra 1712.00% dos seus votos no local COLÉGIO ESTADUAL HUMBERTO MENDES, com 196 votos registrados.
