municipio;ranking_polo_municipal;ranking_polo_geral;local_votacao;endereco_local_votacao;latitude;longitude;bairro;distrito;status_geocodificacao;qtd_secoes;qtd_vereadores;votos_totais;vereador_principal;partido_vereador_principal;votos_vereador_principal;percentual_dominancia;indice_influencia_local;classificacao_local;potencial_agenda_davi
ARAPIRACA;36;87;ESCOLA DE ENSINO FUNDAMENTAL JESUS REDENTOR;RUA MANÉ GARRINCHA, S/N;-9.7575074;-36.6691287;Manoel Teles;;ENCONTRADO;7;73;1034;ROGERIO PEREIRA MELO;MDB;77;7.45;34.87;PRIORIDADE ALTA;AGENDA PRIORITÁRIA
ARAPIRACA;37;88;ESCOLA DE ENSINO FUNDAMENTAL LOJA MAÇONICA;RUA JOSÉ CLOVIS R. DE BARROS;;;;;NAO_ENCONTRADO;7;70;1116;ROGERIO PEREIRA MELO;MDB;124;11.11;34.78;PRIORIDADE ALTA;AGENDA PRIORITÁRIA
SAO MIGUEL DOS CAMPOS;2;89;COLEGIO MUNICIPAL LUZINETE E LINDALVA JATOBA;AV. SAMPAIO MARQUES, S/N;;;;;NAO_ENCONTRADO;15;29;1945;JOSIVALDO JOSÉ DA SILVA;PDT;210;10.8;34.63;PRIORIDADE ALTA;AGENDA PRIORITÁRIA
ARAPIRACA;38;90;GRUPO ESCOLAR PEDRO CORREIA DAS GRAÇAS;RUA VICENTE NUNES S/N;;;;;NAO_ENCONTRADO;7;68;1160;ROGERIO PEREIRA MELO;MDB;150;12.93;34.62;PRIORIDADE ALTA;AGENDA PRIORITÁRIA
MACEIO;34;91;COLÉGIO CONTATO;RUA PROF. SILVIO DE MACEDO, 125;-9.6461711;-35.7034641;Jatiúca;;ENCONTRADO;11;49;1499;LEONARDO DA FONSECA DIAS;PL;222;14.81;34.26;PRIORIDADE ALTA;AGENDA PRIORITÁRIA
MACEIO;35;92;COLÉGIO ANCHIETA;AVENIDA ENG. PAULO BRANDAO NOGUEIRA;-9.6455234;-35.7050159;Jatiúca;;ENCONTRADO;11;49;1489;LEONARDO DA FONSECA DIAS;PL;217;14.57;34.16;PRIORIDADE ALTA;AGENDA PRIORITÁRIA
MACEIO;36;93;FACULDADE RAIMUNDO MARINHO;AVENIDA DURVAL DE GÓES MONTEIRO;-9.6063446;-35.7411445;Canaã;;ENCONTRADO;11;48;1515;GALBA NOVAIS DE CASTRO NETTO;PL;127;8.38;34.12;PRIORIDADE ALTA;AGENDA PRIORITÁRIA
RIO LARGO;5;94;ESCOLA MUNICIPAL DE EDUCACAO BASICA D PEDRO I;RUA CURITIBA S/N;-9.5105587;-35.8093743;Rio Largo;;ENCONTRADO;13;50;1340;MÁRCIO SOARES CAVALCANTE;PP;136;10.15;33.99;PRIORIDADE ALTA;AGENDA PRIORITÁRIA
MACEIO;37;95;GINÁSIO DO SESI TRAPICHE;AVENIDA SIQUEIRA CAMPOS, 1900;-9.6709012;-35.7553063;Trapiche da Barra;;ENCONTRADO;13;45;1469;KELMANN VIEIRA DE OLIVEIRA;MDB;200;13.61;33.76;PRIORIDADE ALTA;AGENDA PRIORITÁRIA
MACEIO;38;96;E.E. DEPUTADO RUBENS CANUTO;AV. GURGURI , S/N;;;;;NAO_ENCONTRADO;9;41;1765;JOSE SIDERLANE ARAUJO DE MENDONCA;PL;342;19.38;33.5;PRIORIDADE ALTA;AGENDA PRIORITÁRIA
MACEIO;39;97;E.E. JORNALISTA LAFAIETTE BELO;PARQUE RESIDENCIAL BENEDITO BENTES I, S/N;;;;;NAO_ENCONTRADO;8;45;1693;JOSE SIDERLANE ARAUJO DE MENDONCA;PL;308;18.19;33.49;PRIORIDADE ALTA;AGENDA PRIORITÁRIA
UNIAO DOS PALMARES;6;98;ESCOLA MUNICIPAL JOÃO COSTA DE OLIVEIRA;QUADRA P1, S/N;;;;;NAO_ENCONTRADO;9;54;1364;EDMILTON RODRIGUES DA SILVA;MDB;136;9.97;33.45;PRIORIDADE ALTA;AGENDA PRIORITÁRIA
MACEIO;40;99;ESCOLA EST. DR. MIGUEL GUEDES NOGUEIRA;RUA DR. OSWALDO CRUZ, S/N;-9.6214949;-35.7555418;Chã de Bebedouro;;ENCONTRADO;14;43;1441;MARCELO PALMEIRA CAVALCANTE;PL;148;10.27;33.39;PRIORIDADE ALTA;AGENDA PRIORITÁRIA
MACEIO;41;100;ESCOLA ESTADUAL DR. RODRIGUEZ DE MELO;JARDIM ESPERANCA, S/N;-9.6574902;-35.7527274;Ponta Grossa;;ENCONTRADO;11;47;1469;JOSÉ MÁRCIO DE MEDEIROS MAIA JÚNIOR;MDB;178;12.12;33.38;PRIORIDADE ALTA;AGENDA PRIORITÁRIA
MACEIO;42;101;ESCOLA ESTADUAL PROFª. IRENE GARRIDO;RUA G, QD 3, S/N, CONJ. DUBEAUX  LEAO;;;;;NAO_ENCONTRADO;9;45;1606;MARIA DE FÁTIMA GALINA FORTES FERREIRA SANTIAGO;MDB;176;10.96;33.14;PRIORIDADE ALTA;AGENDA PRIORITÁRIA
RIO LARGO;6;102;ESCOLA DE EDUCAÇÃO BÁSICA AGNUS DEI;AV. PRESIDENTE FERNANDO A. COLLO DE MELO,96, ANTONIO LINS DE SOUZA;;;;;NAO_ENCONTRADO;8;52;1436;CARLOS HENRIQUE ROLIM VASCONCELOS;PP;189;13.16;33.07;PRIORIDADE ALTA;AGENDA PRIORITÁRIA
ARAPIRACA;39;103;ANEXO ESCOLA JAYME DE ALTAVILLA;AV. MIGUEL CORREIA S/N;;;;;NAO_ENCONTRADO;5;70;1009;PABLO EMANUEL DA SILVA;PP;134;13.28;32.77;PRIORIDADE ALTA;AGENDA PRIORITÁRIA
ARAPIRACA;40;104;ESCOLA DE ENSINO FUND. EM TEMPO INTEGRAL PROF.BENILDO BARBOSA MEDEIROS;RUA ENGENHEIRO CAMILO COLLIER, S/N;-9.7672331;-36.6567112;Primavera;;ENCONTRADO;6;69;983;LEANDRO BARBOSA DE ALMEIDA;MDB;122;12.41;32.71;PRIORIDADE ALTA;AGENDA PRIORITÁRIA
MACEIO;43;105;ESC. MUN. PROF. LENILTO ALVES SANTOS;RUA ENFERMEIRO MARIANO - COHAB, S/N;;;;;NAO_ENCONTRADO;9;42;1651;DAVID CABRAL DAVINO;PP;255;15.45;32.69;PRIORIDADE ALTA;AGENDA PRIORITÁRIA
MACEIO;44;106;ESCOLA ESTADUAL PROFESSOR PEDRO TEIXEIRA;RUA PAU DARCO, S/N;;;;;NAO_ENCONTRADO;9;43;1596;CLAUDIO MOREIRA DA SILVA;PL;601;37.66;32.45;PRIORIDADE ALTA;AGENDA PRIORITÁRIA
MACEIO;45;107;E.M. PAULO HENRIQUE COSTA BANDEIRA;AV NORMA PIMENTEL DA COSTA, 11;-9.5484537;-35.7243653;Benedito Bentes;;ENCONTRADO;8;46;1551;JOSE SIDERLANE ARAUJO DE MENDONCA;PL;254;16.38;32.41;PRIORIDADE ALTA;AGENDA PRIORITÁRIA
RIO LARGO;7;108;ESCOLA MUNICIPAL DE EDUCAÇÃO BASICA INDUSTRIAL LUIGI BAUDUCCO;AVENIDA PASTOR JOSUE LINS CONJUNTO CRUZEIRO DO SUL, C RESIDENCIAL;;;;;NAO_ENCONTRADO;8;49;1447;DOUGLAS HENRIQUE DE FRANÇA COSTA;UNIÃO;193;13.34;32.29;PRIORIDADE ALTA;AGENDA PRIORITÁRIA
MACEIO;46;109;COLÉGIO ROSALVO RIBEIRO DOS SANTOS;RUA BONFIM, 344;-9.6471258;-35.7198393;Jacintinho;;ENCONTRADO;9;44;1546;DAVID CABRAL DAVINO;PP;272;17.59;32.26;PRIORIDADE ALTA;AGENDA PRIORITÁRIA
ARAPIRACA;41;110;ESCOLA DE ENSINO FUNDAMENTAL MARIA DE NAZARÉ;RUA CLAUDIO DE ALBUQUERQUE LIMA, N 2055, SÃO LUIZ;-9.7664245;-36.6509194;São Luiz;;ENCONTRADO;7;71;810;ROGERIO PEREIRA MELO;MDB;73;9.01;32.12;PRIORIDADE ALTA;AGENDA PRIORITÁRIA
MACEIO;47;111;ESCOLA DE EDUCACAO BÁSICA E PROFISSIONAL FUNDAÇÃO BRADESCO;AV. PRESIDENTE GETÚLIO VARGAS, 512;-9.6140548;-35.7298228;Serraria;;ENCONTRADO;9;46;1459;JOSÉ EDUARDO ACCIOLY CANUTO;PL;102;6.99;32.01;PRIORIDADE ALTA;AGENDA PRIORITÁRIA
PENEDO;2;112;COLÉGIO DIOCESANO DE PENEDO;PÇA. LARGO DE FÁTIMA, PX. À 9A. COORDENADORIA DE ENSINO DE ALAGOAS;;;;;NAO_ENCONTRADO;12;30;1771;IVO CARLOS MOURA COSTA;PV;206;11.63;31.78;PRIORIDADE ALTA;AGENDA PRIORITÁRIA
MACEIO;48;113;CEAGB - ESCOLA ESTADUAL PROFª LAURA DANTAS;AV. FERNANDES LIMA, S/N;-9.6219993;-35.7387664;Gruta de Lourdes;;ENCONTRADO;12;50;1153;GALBA NOVAIS DE CASTRO NETTO;PL;70;6.07;31.7;PRIORIDADE ALTA;AGENDA PRIORITÁRIA
MACEIO;49;114;E.E. MARIA IVONE SANTOS DE OLIVEIRA;RUA JOSÉ AUGUSTO LESSA, S/N - INOCOOP;-9.5459396;-35.7845544;Cidade Universitária;;ENCONTRADO;8;47;1445;LUCIANO MARINHO DA SILVA;PL;298;20.62;31.68;PRIORIDADE ALTA;AGENDA PRIORITÁRIA
MACEIO;50;115;ESCOLA ESTADUAL PROF. BENEDITA DE CASTRO LIMA;RUA SANTA RITA, S/N;-9.6470643;-35.7407984;Farol;;ENCONTRADO;9;43;1514;GALBA NOVAIS DE CASTRO NETTO;PL;171;11.29;31.66;PRIORIDADE ALTA;AGENDA PRIORITÁRIA
MACEIO;51;116;ESC. EST. DR. JOSÉ MARIA CORREIA DAS NEVES;RUA AGNELO BARBOSA, S/N;-9.6655078;-35.7494235;Prado;;ENCONTRADO;11;42;1442;JOSÉ MÁRCIO DE MEDEIROS MAIA JÚNIOR;MDB;145;10.06;31.65;PRIORIDADE ALTA;AGENDA PRIORITÁRIA
MACEIO;52;117;E.E. PROFA. MARIA LÚCIA LINS DE FREITAS;RUA 26, S/N, GRACILIANO RAMOS;-9.5464885;-35.7481581;Cidade Universitária;;ENCONTRADO;7;43;1611;LUCIANO MARINHO DA SILVA;PL;734;45.56;31.62;PRIORIDADE ALTA;AGENDA PRIORITÁRIA
PALMEIRA DOS INDIOS;5;118;ESCOLA MUNICIPAL MARCELO MINERVO DOS SANTOS PIMENTEL;AV GRACILIANO RAMOS, 246;-9.4104826;-36.6268719;São Luiz;;ENCONTRADO;14;34;1527;PEDRO RODRIGUES GAIA BISNETO;MDB;158;10.35;31.58;PRIORIDADE ALTA;AGENDA PRIORITÁRIA
MACEIO;53;119;COLÉGIO JORGE ASSUNÇÃO;AV NORMA PIMENTEL DA COSTA, 15;-9.5524705;-35.7287914;Benedito Bentes;;ENCONTRADO;7;46;1495;JOSE SIDERLANE ARAUJO DE MENDONCA;PL;275;18.39;31.38;PRIORIDADE ALTA;AGENDA PRIORITÁRIA
SAO MIGUEL DOS CAMPOS;3;120;ESCOLA MUNICIPAL RUI PALMEIRA;RUA CORONEL JOSE ANTONIO DA CRUZ, 54;-9.7817352;-36.103011;Paraíso;;ENCONTRADO;11;30;1776;DINEY SOARES TORRES NETO;MDB;246;13.85;31.34;PRIORIDADE ALTA;AGENDA PRIORITÁRIA
MACEIO;54;121;ESCOLA EST. DR. EDSON BERNARDES;CONJ. JOAQUIM LEAO, S/N;;;;;NAO_ENCONTRADO;10;42;1443;SILVANIA BATINGA DE OLIVEIRA BARBOSA;SOLIDARIEDADE;163;11.3;31.17;PRIORIDADE ALTA;AGENDA PRIORITÁRIA
DELMIRO GOUVEIA;1;122;WATSON DE GUSMAO, ESCOLA DE 1 E 2 GRAUS;RUA HENRIQUE DIAS, S/N;-9.3850082;-38.0068886;Eldorado;;ENCONTRADO;15;19;1878;EDNA GOMES BERNARDO;MDB;335;17.84;31.04;PRIORIDADE ALTA;AGENDA PRIORITÁRIA
MACEIO;55;123;E.E. PASTOR JOSE TAVARES DE SOUZA;AV. GARCA TORTA, 1286;-9.5478865;-35.7196043;Benedito Bentes;;ENCONTRADO;8;36;1711;JOSE SIDERLANE ARAUJO DE MENDONCA;PL;294;17.18;31.02;PRIORIDADE ALTA;AGENDA PRIORITÁRIA
MACEIO;56;124;ESC. EST. PROF. BENEDITO MORAES;RUA ZEFERINO RODRIGUES, S/N;-9.6685983;-35.7196822;Pajuçara;;ENCONTRADO;10;44;1363;KELMANN VIEIRA DE OLIVEIRA;MDB;224;16.43;30.98;PRIORIDADE ALTA;AGENDA PRIORITÁRIA
CORURIPE;4;125;ESCOLA MUN. EDUC. BÁSICA PROF. MARIA ROCHA SANTOS SILVA;TRAVESSA FLAMENGO, 182, QUADRA S;;;;;NAO_ENCONTRADO;10;27;1858;DALMO PORTO SOUZA;PSB;543;29.22;30.76;PRIORIDADE ALTA;AGENDA PRIORITÁRIA
MACEIO;57;126;E.E. PROFA. GILVANA ATAÍDE CAVALCANTE CABRAL;RUA ELINELMA DE OLIVEIRA SANTOS, S/N;;;;;NAO_ENCONTRADO;7;45;1456;FRANCISCO HOLANDA COSTA FILHO;PL;301;20.67;30.71;PRIORIDADE ALTA;AGENDA PRIORITÁRIA
SAO MIGUEL DOS CAMPOS;4;127;ESCOLA MUNICIPAL PROFESSORA INEIDE NOGUEIRA ROCHA;RUA ALÍCIA VITÓRIA URBANO DE OLIVEIRA LOPES, QUADRA O1, S/N;;;;;NAO_ENCONTRADO;11;28;1749;ROBSON ALFREDO DA SILVA MOURA;MDB;158;9.03;30.49;PRIORIDADE ALTA;AGENDA PRIORITÁRIA
ARAPIRACA;42;128;ESCOLA LINDAUVA EULÁLIA DE FARIAS;POVOADO BAIXA GRANDE DE DENTRO;;;;;NAO_ENCONTRADO;5;58;1130;MARCIO JOSE DA SILVA;MDB;158;13.98;30.41;PRIORIDADE ALTA;AGENDA PRIORITÁRIA
MACEIO;58;129;COLÉGIO INTENSIVO;LARGO DA VITÓRIA, 215;;;;;NAO_ENCONTRADO;10;48;1161;KELMANN VIEIRA DE OLIVEIRA;MDB;108;9.3;30.21;PRIORIDADE ALTA;AGENDA PRIORITÁRIA
MACEIO;59;130;CENTRO UNIVERSITÁRIO MÁRIO PONTES JUCÁ - UMJ (ANTIGA FAPEC/CET);AV. MUNIZ FALCÃO, 1200;-9.5722734;-35.7752038;Tabuleiros dos Martins;;ENCONTRADO;9;52;1089;ALDO ROBERTO DA ROCHA LOUREIRO;PDT;134;12.3;30.2;PRIORIDADE ALTA;AGENDA PRIORITÁRIA
SAO MIGUEL DOS CAMPOS;5;131;ESCOLA ANA LINS;RUA SENADOR MAXIMO, 130;-9.7797751;-36.0993035;Centro;;ENCONTRADO;10;28;1769;JOSIVALDO JOSÉ DA SILVA;PDT;203;11.48;30.2;PRIORIDADE ALTA;AGENDA PRIORITÁRIA
MACEIO;60;132;E.M. PROF. AURÉLIO BUARQUE DE HOLANDA FERREIRA;RUA F, S/N, CONJUNTO FREITAS NETO;;;;;NAO_ENCONTRADO;8;43;1408;ALLAN PIERRE VASCONCELOS;MDB;178;12.64;30.15;PRIORIDADE ALTA;AGENDA PRIORITÁRIA
MACEIO;61;133;CEAGB - ESCOLA ESTADUAL PRINCESA IZABEL;AV. FERNANDES LIMA, S/N;-9.6219993;-35.7387664;Gruta de Lourdes;;ENCONTRADO;10;47;1181;LEONARDO DA FONSECA DIAS;PL;79;6.69;30.11;PRIORIDADE ALTA;AGENDA PRIORITÁRIA
MACEIO;62;134;UNEAL - UNIVERSIDADE ESTADUAL DE ALAGOAS - CAMPUS VI;RUA PEDRO AMÉRICO, S/N, POÇO;-9.6604028;-35.722663;Poço;;ENCONTRADO;10;47;1167;KELMANN VIEIRA DE OLIVEIRA;MDB;97;8.31;29.97;PRIORIDADE ALTA;AGENDA PRIORITÁRIA
MARECHAL DEODORO;1;135;ESCOLA ESTADUAL ROSA MARIA PAULINA DA FONSECA;AV SÃO JOSÉ SN;-9.7102397;-35.8959836;Centro;;ENCONTRADO;11;30;1631;THIAGO HENRIQUE GONDIN TORRES;PDT;203;12.45;29.94;PRIORIDADE NORMAL;AGENDA RECOMENDADA
MACEIO;63;136;IFAL - CAMPUS BENEDITO BENTES;AVENIDA BENEDITO BENTES, S/N;-9.5488075;-35.7318894;Benedito Bentes;;ENCONTRADO;7;45;1369;JOSE SIDERLANE ARAUJO DE MENDONCA;PL;158;11.54;29.87;PRIORIDADE NORMAL;AGENDA RECOMENDADA
MACEIO;64;137;ESCOLA EST. JORNALISTA FREITAS NETO;RUA DR. OSWALDO CRUZ, 150;-9.6214949;-35.7555418;Chã de Bebedouro;;ENCONTRADO;13;40;1217;MARCELO PALMEIRA CAVALCANTE;PL;126;10.35;29.86;PRIORIDADE NORMAL;AGENDA RECOMENDADA
RIO LARGO;8;138;GRUPO ESCOLAR DE I E II GRAUS FERNANDINA MALTA;AV ALBERTO SANTOS DUMONT, S/N;-9.4835249;-35.855917;Vila São Lourenço;;ENCONTRADO;7;50;1207;MÁRCIO SOARES CAVALCANTE;PP;127;10.52;29.78;PRIORIDADE NORMAL;AGENDA RECOMENDADA
MACEIO;65;139;ESCOLA ESTADUAL PADRE CABRAL;PRACA EDUARDO SANTOS, S/N;-9.590352;-35.783877;Fernão Velho;;ENCONTRADO;8;36;1572;MILTON LUNA BARROS NETO;PSB;311;19.78;29.67;PRIORIDADE NORMAL;AGENDA RECOMENDADA
MACEIO;66;140;E.M. MARIA CARMELITA CARDOSO GAMA (CAIC-UFAL);BR 104, 1099 KM 14 - CAMPUS A.C.SIMOES;;;;;NAO_ENCONTRADO;8;38;1506;LUCIANO MARINHO DA SILVA;PL;306;20.32;29.62;PRIORIDADE NORMAL;AGENDA RECOMENDADA
RIO LARGO;9;141;ESCOLA DE ENS FUND PROFESSORA EVANDA CARNEIRO DE VASCONCELOS;RUA SAO PEDRO S/N;-9.4784995;-35.8366035;Mata do Rolo;;ENCONTRADO;9;46;1206;IZAQUE PEREIRA SILVA;AVANTE;151;12.52;29.57;PRIORIDADE NORMAL;AGENDA RECOMENDADA
MACEIO;67;142;ESCOLA ESTADUAL PROFESSOR SEBASTIÃO DA HORA;RUA MARTINS MURTA, S/N;-9.6389436;-35.7308548;Pitanguinha;;ENCONTRADO;10;42;1270;CLAUDIO MOREIRA DA SILVA;PL;271;21.34;29.5;PRIORIDADE NORMAL;AGENDA RECOMENDADA
ARAPIRACA;43;143;ESCOLA DE ENSINO FUNDAMENTAL WALTER BEZERRA;RUA CLAUDIO DE ALBUQUERQUE LIMA, N 409, OURO PRETO;-9.7621649;-36.6545352;Ouro Preto;;ENCONTRADO;6;69;649;ROGERIO PEREIRA MELO;MDB;60;9.24;29.49;PRIORIDADE NORMAL;MONITORAMENTO
PALMEIRA DOS INDIOS;6;144;FACULDADE CESMAC DO SERTÃO;RUA BRAÚLIO MONTENEGRO, S/N, VILA MARIA;;;;;NAO_ENCONTRADO;10;34;1505;PEDRO RODRIGUES GAIA BISNETO;MDB;157;10.43;29.41;PRIORIDADE NORMAL;AGENDA RECOMENDADA
MACEIO;68;145;ESCOLA DE ENSINO FUNDAMENTAL PROF. DONIZETTI CALHEIROS;AV. UBERABA, S/N;;;;;NAO_ENCONTRADO;8;42;1351;BRIVALDO MARQUES SILVA NETO;PL;200;14.8;29.3;PRIORIDADE NORMAL;AGENDA RECOMENDADA
MARECHAL DEODORO;2;146;ESCOLA MUNICIPAL GOVERNADOR LUIZ CAVALCANTE;RODOVIA EDVAL LEMOS;-9.7585568;-35.8685101;Vila Cabreiras;;ENCONTRADO;11;31;1530;NILSON DO NASCIMENTO SANTOS;PSB;186;12.16;29.26;PRIORIDADE NORMAL;AGENDA RECOMENDADA
MACEIO;69;147;ESC. MUN. ARNON AFFONSO FARIAS DE MELLO;CONJ. JOSE DA SILVA PEIXOTO, S/N;;;;;NAO_ENCONTRADO;9;40;1347;DAVID CABRAL DAVINO;PP;240;17.82;29.16;PRIORIDADE NORMAL;AGENDA RECOMENDADA
ARAPIRACA;44;148;ESCOLA DE ENSINO FUNDAMENTAL VOLUNTÁRIA MARIA DAS NEVES BORGES;RUA SINÉSIO FERREIRA LIMA, N 383, OURO PRETO;;;;;NAO_ENCONTRADO;5;71;595;ROGERIO PEREIRA MELO;MDB;58;9.75;29.07;PRIORIDADE NORMAL;MONITORAMENTO
MACEIO;70;149;ESC. MUN. KÁTIA PIMENTEL ASSUNÇÃO;RUA BRENO CANSANCAO, 788;-9.6375976;-35.717939;Jacintinho;;ENCONTRADO;8;42;1327;DAVID CABRAL DAVINO;PP;240;18.09;29.07;PRIORIDADE NORMAL;AGENDA RECOMENDADA
MACEIO;71;150;E.M. MARIA DE LOURDES DE MELO PIMENTEL;RUA PADRE CÍCERO, 05, VILAGE CAMPESTE II;;;;;NAO_ENCONTRADO;6;43;1386;LUCIANO MARINHO DA SILVA;PL;735;53.03;28.96;PRIORIDADE NORMAL;AGENDA RECOMENDADA
MACEIO;72;151;ESC. EST. PROF. THEOTÔNIO VILELA BRANDÃO;RUA ADAUTO GOMES BARBOSA, SN - SANTO EDUARDO;;;;;NAO_ENCONTRADO;10;45;1123;KELMANN VIEIRA DE OLIVEIRA;MDB;121;10.77;28.96;PRIORIDADE NORMAL;AGENDA RECOMENDADA
RIO LARGO;10;152;ESCOLA DE ENSINO FUND PROF ROSINEIDE TEREZA MARTINS DA CONCEIÇÃO;EUCLIDES AFONSO DE MELO S/N;;;;;NAO_ENCONTRADO;7;47;1209;MÁRCIO SOARES CAVALCANTE;PP;171;14.14;28.91;PRIORIDADE NORMAL;AGENDA RECOMENDADA
MACEIO;73;153;COLÉGIO SANTÍSSIMO SENHOR;LOTEAMENTO BRISA DA SERRARIA, 302 - CONJ. JOSÉ TENÓRIO;;;;;NAO_ENCONTRADO;8;45;1214;TEREZA NELMA PORTO VIANA SOARES;PT;104;8.57;28.86;PRIORIDADE NORMAL;AGENDA RECOMENDADA
UNIAO DOS PALMARES;7;154;GRUPO ESCOLAR DR JORGE DE LIMA;RUA TAVARES BASTOS, SN;-9.157438;-36.0311805;União dos Palmares;;ENCONTRADO;7;47;1192;ALMIR BELARMINO DA SILVA;PDT;102;8.56;28.75;PRIORIDADE NORMAL;AGENDA RECOMENDADA
MACEIO;74;155;ESC. MUN. PROFª EULINA RIBEIRO ALENCAR;RUA COARACI FONSECA, 01;;;;;NAO_ENCONTRADO;8;39;1366;DAVID CABRAL DAVINO;PP;247;18.08;28.57;PRIORIDADE NORMAL;AGENDA RECOMENDADA
RIO LARGO;11;156;ESCOLA MUNICIPAL TERESA CRISTINA LINS DE SOUZA COSTA;CJ RES. FRANCISCO TAVARES GRANJA, S/N;;;;;NAO_ENCONTRADO;8;50;1025;MÁRCIO SOARES CAVALCANTE;PP;103;10.05;28.51;PRIORIDADE NORMAL;AGENDA RECOMENDADA
UNIAO DOS PALMARES;8;157;ESCOLA ESTADUAL ROCHA CAVALCANTE;RUA CORREIA DE OLIVEIRA 200;-9.1588289;-36.0341446;União dos Palmares;;ENCONTRADO;7;44;1258;GUSTAVO THADEU PAULINO PEDROZA;PDT;96;7.63;28.51;PRIORIDADE NORMAL;AGENDA RECOMENDADA
MACEIO;75;158;ESCOLA ESTADUAL GUIOMAR DE ALMEIDA PEIXOTO;RUA SANTO ANTONIO, 600;-9.635066;-35.746385;Pinheiro;;ENCONTRADO;10;40;1225;SILVANIA BATINGA DE OLIVEIRA BARBOSA;SOLIDARIEDADE;157;12.82;28.47;PRIORIDADE NORMAL;AGENDA RECOMENDADA
RIO LARGO;12;159;GRUPO ESCOLAR MANOEL SOARES DE SOUZA;VILA RAUL S/N;;;;;NAO_ENCONTRADO;8;46;1134;MÁRCIO SOARES CAVALCANTE;PP;109;9.61;28.38;PRIORIDADE NORMAL;AGENDA RECOMENDADA
ARAPIRACA;45;160;ESCOLAR ANA BERNARDES SILVEIRA;SERRA DOS FERREIRA S/N;;;;;NAO_ENCONTRADO;6;49;1142;JOSÉ ALDO OLIVEIRA VEIGA;MDB;249;21.8;28.37;PRIORIDADE NORMAL;AGENDA RECOMENDADA
RIO LARGO;13;161;ESCOLA PREFEITO WALTER DORIA DE FIGUEIREDO;CJ MARIO MAFRA, QUADRA D-04;;;;;NAO_ENCONTRADO;6;48;1169;DOUGLAS HENRIQUE DE FRANÇA COSTA;UNIÃO;153;13.09;28.33;PRIORIDADE NORMAL;AGENDA RECOMENDADA
UNIAO DOS PALMARES;9;162;EDUCANDARIO OLIMPYA AUGUSTA DOS SANTOS;RUA CORONEL JOSE BEZERRA MONTENEGRO, 105;-9.1609031;-36.0318218;União dos Palmares;;ENCONTRADO;8;43;1212;GIVANILDO GOMES DA SILVA;MDB;98;8.09;28.26;PRIORIDADE NORMAL;AGENDA RECOMENDADA
MACEIO;76;163;ESC. DE ENS. FUND. PROF. PEDRO CAFÉ;RUA DO CRAVO, S/N;-9.5960352;-35.7409551;Jardim Petrópolis;;ENCONTRADO;8;36;1413;JOSÉ MÁRCIO DE MEDEIROS MAIA JÚNIOR;MDB;388;27.46;28.14;PRIORIDADE NORMAL;AGENDA RECOMENDADA
MACEIO;77;164;ESCOLA MONTEIRO LOBATO;RUA DO IPÊ ROXO, 291;;;;;NAO_ENCONTRADO;8;41;1252;MILTON LUNA BARROS NETO;PSB;139;11.1;28.05;PRIORIDADE NORMAL;AGENDA RECOMENDADA
MACEIO;78;165;COLÉGIO MARISTA DE MACEIO;AV DOM ANTÔNIO BRANDÃO, 564;-9.6587237;-35.7320324;Centro;;ENCONTRADO;9;44;1109;LEONARDO DA FONSECA DIAS;PL;145;13.07;28.04;PRIORIDADE NORMAL;AGENDA RECOMENDADA
MACEIO;79;166;E.M. PROFA. HÉVIA VALÉRIA MAIA AMORIM;AV JOSÉ AILTON DOS SANTOS, S/N, VILAGE CAMPESTRE I;;;;;NAO_ENCONTRADO;6;41;1334;LUCIANO MARINHO DA SILVA;PL;641;48.05;27.87;PRIORIDADE NORMAL;AGENDA RECOMENDADA
DELMIRO GOUVEIA;2;167;VIRGILIA BEZERRA,ESCOLA DE 1 E 2 GRAUS PROFESSORA;AV MASCARENHAS DE MORAIS S/N;;;;;NAO_ENCONTRADO;12;17;1741;FABIOLA MARQUES DE LIMA;MDB;258;14.82;27.67;PRIORIDADE NORMAL;AGENDA RECOMENDADA
MACEIO;80;168;ESC. MUN. ANTÔNIO SEMEÃO LAMENHA LINS;RUA MAJOR JOAQUIM CALHEIROS, S/N;;;;;NAO_ENCONTRADO;8;41;1211;DAVID CABRAL DAVINO;PP;204;16.85;27.66;PRIORIDADE NORMAL;AGENDA RECOMENDADA
MACEIO;81;169;COLÉGIO MARIA MONTESSORI;RUA PAPA JOÃO PAULO 30;;;;;NAO_ENCONTRADO;9;44;1060;LEONARDO DA FONSECA DIAS;PL;141;13.3;27.57;PRIORIDADE NORMAL;AGENDA RECOMENDADA
MACEIO;82;170;ESCOLA DE ENSINO FUNDAMENTAL LUÍZA OLIVEIRA SURUAGY;RUA PADRE CÍCERO, S/N;-9.5616951;-35.739975;Antares;;ENCONTRADO;7;39;1310;MILTON LUNA BARROS NETO;PSB;280;21.37;27.54;PRIORIDADE NORMAL;AGENDA RECOMENDADA
ARAPIRACA;46;171;GRUPO ESCOLAR CÔNEGO EPITÁCIO RODRIGUES;VILA SAO FRANCISCO;;;;;NAO_ENCONTRADO;5;40;1380;SERGIO FABIO NUNES;PP;657;47.61;27.53;PRIORIDADE NORMAL;AGENDA RECOMENDADA
