municipio;vereador;partido;ranking_reduto_geral;local_principal;endereco_local_principal;latitude;longitude;bairro;distrito;status_geocodificacao;votos_local_principal;votos_totais_vereador;percentual_local_principal;qtd_secoes_controladas;total_secoes_vereador;indice_reduto;classificacao_reduto
ARAPIRACA;FRANCICLAUDIO FELEX DE SENA;PT;395;ESCOLA DE 1 E 2 GRAUS SENADOR RUI PALMEIRA;RUA MANOEL NUNES NETO S/N;-9.7414437;-36.6642875;Capiatá;;ENCONTRADO;1;5;20.0;1;5;12.5;REDUTO BAIXO
MARECHAL DEODORO;ELIAS JOSÉ DOS SANTOS;PSDB;396;ESCOLA ESTADUAL DEODORO DA FONSECA;PRACA PEDRO PAULINO SN;;;;;NAO_ENCONTRADO;1;5;20.0;1;5;12.5;REDUTO BAIXO
PALMEIRA DOS INDIOS;PETRÔNIO ALVES DA SILVA;PSDB;397;COLÉGIO CRISTO REDENTOR;AV. DEP. MEDEIROS NETO 51;-9.4113742;-36.6337546;São Cristovão;;ENCONTRADO;4;23;17.39;4;21;12.45;REDUTO BAIXO
PENEDO;JOÃO BATISTA FERREIRA;PP;398;EMEB VEREADOR JOSÉ DA COSTA MANGABEIRA;RUA F, LOTEAMENTO SÃO GONÇALO, SN;;;;;NAO_ENCONTRADO;4;22;18.18;3;19;12.43;REDUTO BAIXO
ARAPIRACA;ISABELLA CARLA SILVA GOUVEIA;REPUBLICANOS;399;ESCOLA ESTADUAL DE EDUCACAO BASICA COSTA REGO;RUA GOVERNADOR LUIZ CAVALCANTE S/N;-9.7505554;-36.6580852;Alto do Cruzeiro;;ENCONTRADO;12;92;13.04;9;75;12.4;REDUTO BAIXO
ARAPIRACA;JEFFERSON ARAUJO DANTAS;REPUBLICANOS;400;ESCOLA DE 1 GRAU MANOEL LUCIO DA SILVA;RUA MANOEL LÚCIO S/N;-9.7464382;-36.6524184;Alto do Cruzeiro;;ENCONTRADO;19;148;12.84;9;112;12.39;REDUTO BAIXO
ARAPIRACA;MARIA CAROLINE SOUZA VALERIANO;PODE;401;ESCOLA DE 1 E 2 GRAUS SENADOR RUI PALMEIRA;RUA MANOEL NUNES NETO S/N;-9.7414437;-36.6642875;Capiatá;;ENCONTRADO;114;2447;4.66;16;368;12.39;REDUTO BAIXO
UNIAO DOS PALMARES;MANUEL PEREIRA DA SILVA;PMB;402;ESCOLA ESTADUAL ROCHA CAVALCANTE;RUA CORREIA DE OLIVEIRA 200;-9.1588289;-36.0341446;União dos Palmares;;ENCONTRADO;18;118;15.25;6;78;12.36;REDUTO BAIXO
RIO LARGO;JOSE CARLOS REIS DOS SANTOS FILHO;PP;403;GRUPO ESCOLAR OZORIA MOURA DE LIMA;RUA  ANTONIO ELIAS CALHEIROS S/N;;;;;NAO_ENCONTRADO;206;1906;10.81;5;199;12.15;REDUTO BAIXO
ARAPIRACA;GENIVALDO PEREIRA DOS SANTOS;SOLIDARIEDADE;404;ESCOLA JOÃO SATURNINO DE ALMEIDA;AV. JOÃO SATURNINO S/N;;;;;NAO_ENCONTRADO;11;73;15.07;6;58;12.14;REDUTO BAIXO
ARAPIRACA;FÁBIO ROGÉRIO PEREIRA CHAVES;PSB;405;ESCOLA DE 1 E 2 GRAUS SENADOR RUI PALMEIRA;RUA MANOEL NUNES NETO S/N;-9.7414437;-36.6642875;Capiatá;;ENCONTRADO;84;1695;4.96;16;352;12.1;REDUTO BAIXO
ARAPIRACA;NEUCLECIA FARIAS ÂNGELO;PMB;406;ESCOLA AURINO MACIEL;RUA DOM FELÍCIO VASCONCELOS,S/N;-9.7453734;-36.6648859;Centro;;ENCONTRADO;3;17;17.65;3;17;12.1;REDUTO BAIXO
RIO LARGO;CICERO ALVES DE OMENA;MDB;407;GRUPO ESCOLAR MANOEL SOARES DE SOUZA;VILA RAUL S/N;;;;;NAO_ENCONTRADO;69;548;12.59;7;154;12.05;REDUTO BAIXO
ARAPIRACA;JOÃO HONÓRIO DA SILVA;PT;408;ESCOLA DE 1 GRAU MANOEL LUCIO DA SILVA;RUA MANOEL LÚCIO S/N;-9.7464382;-36.6524184;Alto do Cruzeiro;;ENCONTRADO;6;40;15.0;6;36;12.02;REDUTO BAIXO
DELMIRO GOUVEIA;CARLOS GABRIEL VARJÃO CORREIA DA SILVA;PSB;409;MANOEL MOURA, COLEGIO DE 1 GRAU;POVOADO BARRAGEM;;;;;NAO_ENCONTRADO;103;777;13.26;5;141;12.01;REDUTO BAIXO
MACEIO;RAILDA CARVALHO DE ALBUQUERQUE;REPUBLICANOS;410;ESCOLA ESTADUAL ROMEU DE AVELAR;RUA RACOES CARB, S/N;;;;;NAO_ENCONTRADO;6;38;15.79;5;36;12.01;REDUTO BAIXO
MARECHAL DEODORO;MARIA ADRIANA GOMES DOS SANTOS;SOLIDARIEDADE;411;ESCOLA MUNICIPAL GOVERNADOR LUIZ CAVALCANTE;RODOVIA EDVAL LEMOS;-9.7585568;-35.8685101;Vila Cabreiras;;ENCONTRADO;13;88;14.77;6;53;11.99;REDUTO BAIXO
MARECHAL DEODORO;JOSÉ RAFAEL DA SILVA;SOLIDARIEDADE;412;ESCOLA MUNICIPAL ALTINA RIBEIRO TOLEDO;VILA ALTINA SN;;;;;NAO_ENCONTRADO;20;155;12.9;8;76;11.96;REDUTO BAIXO
MACEIO;KAYO GUSTAVO FRAGOSO CARNEIRO DA CUNHA;REPUBLICANOS;413;ESCOLA DE ENSINO FUNDAMENTAL DR JOSE HAROLDO DA COSTA;CONJ. SALVADOR LIRA, S/N;;;;;NAO_ENCONTRADO;32;724;4.42;18;360;11.93;REDUTO BAIXO
ARAPIRACA;MANOEL EUSÉBIO DOS SANTOS NETO;PT;414;COLÉGIO QUINTELA CAVALCANTE;AV. VENTURA DE FARIAS S/N;-9.7466266;-36.6673366;Eldorado;;ENCONTRADO;2;11;18.18;2;11;11.91;REDUTO BAIXO
UNIAO DOS PALMARES;JOSÉ EDILSON DA SILVA;PT;415;COLEGIO DR. MARIO GOMES DE BARROS;RUA JARDIM BRASILIA 378;-9.1545653;-36.0312271;União dos Palmares;;ENCONTRADO;5;29;17.24;3;27;11.89;REDUTO BAIXO
ARAPIRACA;SONIA MARIA SOARES FERREIRA;PMB;416;ESCOLA LINDAUVA EULÁLIA DE FARIAS;POVOADO BAIXA GRANDE DE DENTRO;;;;;NAO_ENCONTRADO;6;35;17.14;3;28;11.84;REDUTO BAIXO
MARECHAL DEODORO;JOSÉ JULIO FIRMINO FILHO;PSDB;417;NEI MARIA IRENE DA SILVA;AV VIOLETA SN RD DENISSON AMORIM;;;;;NAO_ENCONTRADO;12;75;16.0;4;56;11.74;REDUTO BAIXO
PALMEIRA DOS INDIOS;ERONILDES FLORENCIO DA SILVA;PMB;418;ESCOLA DE 1 GRAU ESTADO DE NOVA GERSEY;RUA SEBASTIÃO LIMA SN;-9.4134008;-36.6281836;São Luiz;;ENCONTRADO;28;227;12.33;8;116;11.74;REDUTO BAIXO
UNIAO DOS PALMARES;ANDERSON AUSTREGESILO DE ATAYDE SILVA;PMB;419;COLEGIO JOSE CORREIA VIANA;RUA SANTA MARIA MADALENA, 226;-9.1586442;-36.0310077;União dos Palmares;;ENCONTRADO;24;223;10.76;10;104;11.71;REDUTO BAIXO
MACEIO;JOSÉ FERNANDES DA COSTA;REPUBLICANOS;420;E.E. ALFREDO GASPAR DE MENDONCA;CONJ. EUSTAQUIO GOMES DE MELO, S/N;;;;;NAO_ENCONTRADO;16;146;10.96;10;105;11.7;REDUTO BAIXO
ARAPIRACA;DANIELLE KARINE NUNES SILVA;REPUBLICANOS;421;ESCOLA DE 1 E 2 GRAUS SENADOR RUI PALMEIRA;RUA MANOEL NUNES NETO S/N;-9.7414437;-36.6642875;Capiatá;;ENCONTRADO;38;607;6.26;15;267;11.67;REDUTO BAIXO
ARAPIRACA;MARCO CÉSAR LIMA DOS SANTOS;PMB;422;ESCOLA DE 1 E 2 GRAUS SENADOR RUI PALMEIRA;RUA MANOEL NUNES NETO S/N;-9.7414437;-36.6642875;Capiatá;;ENCONTRADO;25;338;7.4;14;206;11.66;REDUTO BAIXO
MARECHAL DEODORO;LUIZ DOS SANTOS;PSDB;423;ESCOLA MUNICIPAL JOSÉ BISPO DA SILVA;AV. CATUÇABA, S/N;-9.7180783;-35.8235422;Marechal Deodoro;;ENCONTRADO;3;17;17.65;2;15;11.61;REDUTO BAIXO
RIO LARGO;CICERO FRANCISCO DOS SANTOS POSSIDÔNIO;PL;424;GRUPO ESCOLAR OZORIA MOURA DE LIMA;RUA  ANTONIO ELIAS CALHEIROS S/N;;;;;NAO_ENCONTRADO;7;42;16.67;3;35;11.58;REDUTO BAIXO
ARAPIRACA;ENOQUE FERREIRA LIMA JUNIOR;REPUBLICANOS;425;ESCOLA PROFESSORA IZAURA ANTÔNIA LISBOA;RUA ANTÔNIO MARROQUIM S/N;-9.7479462;-36.6693345;Baixão;;ENCONTRADO;12;103;11.65;9;85;11.57;REDUTO BAIXO
ARAPIRACA;JOSE MARCELO PALMEIRA RAMOS;REPUBLICANOS;426;ESCOLA DE ENSINO FUNDAMENTAL CLEONICE BARBOSA DE ALMEIDA;CONJUNTO BRISA DO LAGO - OLHO DAGUA DOS CAZUZINHO;;;;;NAO_ENCONTRADO;30;208;14.42;5;134;11.56;REDUTO BAIXO
DELMIRO GOUVEIA;RENATO DAVID TORRES DE OLIVEIRA;PT;427;ANCHIETA, GRUPO ESCOLAR PADRE ( POV. LAGOINHA);POVOADO LAGOINHAS S/N;;;;;NAO_ENCONTRADO;150;1330;11.28;5;148;11.56;REDUTO BAIXO
ARAPIRACA;ADELSON SAMPAIO FREIRE;REPUBLICANOS;428;ESCOLA PEDRO SURUAGY;RUA NOSSA SENHORA DA SALETE S/N;-9.7509333;-36.6431771;Itapoã;;ENCONTRADO;6;40;15.0;5;36;11.53;REDUTO BAIXO
SAO MIGUEL DOS CAMPOS;ALILANE MARIA DA SILVA;PRD;429;COLEGIO MUNICIPAL LUZINETE E LINDALVA JATOBA;AV. SAMPAIO MARQUES, S/N;;;;;NAO_ENCONTRADO;4;24;16.67;3;18;11.53;REDUTO BAIXO
PENEDO;ANTONIO VALMIR CARLOS DA SILVA;PP;430;COLÉGIO DIOCESANO DE PENEDO;PÇA. LARGO DE FÁTIMA, PX. À 9A. COORDENADORIA DE ENSINO DE ALAGOAS;;;;;NAO_ENCONTRADO;3;18;16.67;3;18;11.51;REDUTO BAIXO
SAO MIGUEL DOS CAMPOS;JOSE GREGORIO DE FRANÇA FILHO;PRD;431;ESCOLA MUNICIPAL DESEMBARGADOR JOSE FERNANDO LIMA SOUZA;RODOVIA BR 101, KM 69;-9.741431;-36.0611185;São Miguel dos Campos;;ENCONTRADO;3;18;16.67;3;15;11.51;REDUTO BAIXO
SAO MIGUEL DOS CAMPOS;VALDEMIR DOS SANTOS COSTA;PRD;432;ESCOLA ANA LINS;RUA SENADOR MAXIMO, 130;-9.7797751;-36.0993035;Centro;;ENCONTRADO;11;84;13.1;7;66;11.45;REDUTO BAIXO
ARAPIRACA;OSMAR FRAZÃO DA SILVA;SOLIDARIEDADE;433;ESCOLA DE ENSINO FUNDAMENTAL ZÉLIA BARBOSA ROCHA;RUA DJALMA M. SANTANA;;;;;NAO_ENCONTRADO;9;61;14.75;5;49;11.43;REDUTO BAIXO
MACEIO;ERICKSON HOLANDA PADILHA BOMFIM;REPUBLICANOS;434;UNIMA / AFYA - CENTRO UNIVERSITÁRIO DE MACEIÓ (ANTIGA UNIT);AV GUSTAVO PAIVA, 5017;-9.6478561;-35.7147108;Mangabeiras;;ENCONTRADO;23;805;2.86;19;388;11.34;REDUTO BAIXO
ARAPIRACA;RODRIGO JOSÉ DA SILVA;PMB;435;ESCOLA DE 1 GRAU MANOEL LUCIO DA SILVA;RUA MANOEL LÚCIO S/N;-9.7464382;-36.6524184;Alto do Cruzeiro;;ENCONTRADO;98;1510;6.49;12;348;11.28;REDUTO BAIXO
ARAPIRACA;EDIELZE PEREIRA LIMA;PMB;436;ESCOLA LINDAUVA EULÁLIA DE FARIAS;POVOADO BAIXA GRANDE DE DENTRO;;;;;NAO_ENCONTRADO;20;141;14.18;5;99;11.26;REDUTO BAIXO
ARAPIRACA;RAMILDO TENORIO DE HOLANDA;PSDB;437;ESCOLA DE 1 GRAU MANOEL LUCIO DA SILVA;RUA MANOEL LÚCIO S/N;-9.7464382;-36.6524184;Alto do Cruzeiro;;ENCONTRADO;8;59;13.56;6;52;11.19;REDUTO BAIXO
PENEDO;ZÉLIA GOMES DA SILVA;PP;438;ESCOLA MUNICIPAL VEREADOR MANOEL SOARES DE MELO;RUA FLORIANO ROSA, S/N, PX. AO POSTO DE SAÚDE, CONJUNTO VILA MATIAS;;;;;NAO_ENCONTRADO;7;46;15.22;4;36;11.19;REDUTO BAIXO
ARAPIRACA;PABLO EMANUEL DA SILVA;PP;439;ESCOLA DE 1 GRAU PROFESSOR JAYME DE ALTAVILLA;RUA SANTOS DUMONT, 623;-9.7498653;-36.6655146;Centro;;ENCONTRADO;199;2873;6.93;8;362;11.18;REDUTO BAIXO
RIO LARGO;MARIA VERÔNICA DE LUCENA FRAGOSO;MDB;440;GRUPO ESCOLAR DE I E II GRAUS FERNANDINA MALTA;AV ALBERTO SANTOS DUMONT, S/N;-9.4835249;-35.855917;Vila São Lourenço;;ENCONTRADO;8;53;15.09;4;40;11.13;REDUTO BAIXO
DELMIRO GOUVEIA;JOSE IVAM DE ARAUJO JUNIOR;PT;441;JOSE CORREIA DOS SANTOS,GRUPO ESCOLAR;POVOADO SINIMBU;;;;;NAO_ENCONTRADO;103;824;12.5;4;141;11.07;REDUTO BAIXO
MACEIO;LEANDRO ROSA DE SOUZA;REPUBLICANOS;442;UNIMA / AFYA - CENTRO UNIVERSITÁRIO DE MACEIÓ (ANTIGA UNIT);AV GUSTAVO PAIVA, 5017;-9.6478561;-35.7147108;Mangabeiras;;ENCONTRADO;21;517;4.06;17;309;11.06;REDUTO BAIXO
UNIAO DOS PALMARES;JOSE MARIA CASSIMIRO DA SILVA;UNIÃO;443;COLEGIO DE ENSINO FUNDAMENTAL MONSENHOR CLOVIS DUARTE DE BARROS;RUA JARDIM BRASILIA;-9.1545653;-36.0312271;União dos Palmares;;ENCONTRADO;2;12;16.67;2;12;11.01;REDUTO BAIXO
RIO LARGO;LUCIANO DOS SANTOS;MDB;444;ESCOLA ESTADUAL TABULEIRO DO PINTO;RUA DA CAIXA SN;;;;;NAO_ENCONTRADO;26;192;13.54;5;104;10.97;REDUTO BAIXO
PALMEIRA DOS INDIOS;ROBERTO CARNAÚBA SILVA;PMB;445;ESCOLA ESTADUAL MANOEL PASSOS LIMA;RUA GERVÁSIO MOREIRA, S/N;;;;;NAO_ENCONTRADO;17;118;14.41;4;76;10.86;REDUTO BAIXO
RIO LARGO;JOSÉ LUCIANO LOPES DOS SANTOS;PSB;446;GRUPO ESCOLAR OZORIA MOURA DE LIMA;RUA  ANTONIO ELIAS CALHEIROS S/N;;;;;NAO_ENCONTRADO;7;48;14.58;4;40;10.81;REDUTO BAIXO
ARAPIRACA;SUZICLEI PEREIRA DOS SANTOS;SOLIDARIEDADE;447;UNEAL UNIVERSIDADE ESTADUAL DE ALAGOAS;RUA GOVERNADOR LUIZ CAVALCANTE;-9.7505554;-36.6580852;Alto do Cruzeiro;;ENCONTRADO;9;80;11.25;8;67;10.79;REDUTO BAIXO
MACEIO;ALMERINDA MAXIMO DA SILVA;CIDADANIA;448;ESC. MUN. PROFª EULINA RIBEIRO ALENCAR;RUA COARACI FONSECA, 01;;;;;NAO_ENCONTRADO;6;47;12.77;6;44;10.68;REDUTO BAIXO
ARAPIRACA;JOELMA RIBEIRO DE OLIVEIRA;PT;449;ESCOLA DE ENSINO FUNDAMENTAL CLEONICE BARBOSA DE ALMEIDA;CONJUNTO BRISA DO LAGO - OLHO DAGUA DOS CAZUZINHO;;;;;NAO_ENCONTRADO;18;145;12.41;6;104;10.65;REDUTO BAIXO
ARAPIRACA;VALQUIRIA RAQUEL FERREIRA DA COSTA;REPUBLICANOS;450;GRUPO ESCOLAR JOÃO BATISTA PEREIRA;COHAB NOVA S/N;;;;;NAO_ENCONTRADO;38;371;10.24;8;199;10.64;REDUTO BAIXO
UNIAO DOS PALMARES;ELIAS DA SILVA OLIVEIRA;PT;451;COLEGIO DE ENSINO FUNDAMENTAL MONSENHOR CLOVIS DUARTE DE BARROS;RUA JARDIM BRASILIA;-9.1545653;-36.0312271;União dos Palmares;;ENCONTRADO;1;6;16.67;1;6;10.51;REDUTO BAIXO
UNIAO DOS PALMARES;PAULO ANTONIO HERCULANO BATISTA;UNIÃO;452;COLEGIO DE ENSINO FUNDAMENTAL MONSENHOR CLOVIS DUARTE DE BARROS;RUA JARDIM BRASILIA;-9.1545653;-36.0312271;União dos Palmares;;ENCONTRADO;1;6;16.67;1;6;10.51;REDUTO BAIXO
ARAPIRACA;JOSE ABELARDO DA SILVA;REPUBLICANOS;453;ESCOLA JOÃO SATURNINO DE ALMEIDA;AV. JOÃO SATURNINO S/N;;;;;NAO_ENCONTRADO;22;197;11.17;7;146;10.46;REDUTO BAIXO
MACEIO;THALES LUIZ PEIXOTO CAVALCANTE;PSB;454;ESCOLA ESTADUAL DEPUTADO NENOI PINTO;RUA MUNIZ FALCAO, S/N;-9.649823;-35.7216764;Jacintinho;;ENCONTRADO;212;5833;3.63;10;539;10.38;REDUTO BAIXO
ARAPIRACA;JOSESMU CAVALCANTE DA ROCHA;REPUBLICANOS;455;ESCOLA PROFESSORA IZAURA ANTÔNIA LISBOA;RUA ANTÔNIO MARROQUIM S/N;-9.7479462;-36.6693345;Baixão;;ENCONTRADO;6;46;13.04;5;42;10.36;REDUTO BAIXO
MACEIO;MARCELO PALMEIRA CAVALCANTE;PL;456;ESC. DE ENS. FUND. PROF. PEDRO CAFÉ;RUA DO CRAVO, S/N;-9.5960352;-35.7409551;Jardim Petrópolis;;ENCONTRADO;302;10943;2.76;8;548;10.29;REDUTO BAIXO
ARAPIRACA;WILLIAN MANOEL BEZERRA;CIDADANIA;457;ESCOLA DE 1 GRAU MANOEL LUCIO DA SILVA;RUA MANOEL LÚCIO S/N;-9.7464382;-36.6524184;Alto do Cruzeiro;;ENCONTRADO;14;127;11.02;7;97;10.25;REDUTO BAIXO
UNIAO DOS PALMARES;ALESSANDRO FERREIRA DE MENDONÇA;PSD;458;ESCOLA DE ENSINO FUNDAMENTAL FILOMENA MEDEIROS;RUA EDGAR SARMENTO, 217;-9.1631868;-36.0315847;União dos Palmares;;ENCONTRADO;19;152;12.5;5;90;10.24;REDUTO BAIXO
UNIAO DOS PALMARES;RAMON LINS DA SILVA;UNIÃO;459;COLEGIO JOSE CORREIA VIANA;RUA SANTA MARIA MADALENA, 226;-9.1586442;-36.0310077;União dos Palmares;;ENCONTRADO;2;13;15.38;2;13;10.23;REDUTO BAIXO
RIO LARGO;JOSÉ BENEDITO LOPES PEIXOTO;MDB;460;ESCOLA ESTADUAL SANTOS DUMONT;BR 104 - DESTACAMENTO DA FAB - VILA MILITAR;;;;;NAO_ENCONTRADO;31;348;8.91;9;150;10.22;REDUTO BAIXO
MACEIO;SILVIO SAMPAIO CAMELO;PV;461;ESCOLA DE ENS. FUND. NOSSO LAR I;RUA SAMPAIO DORIA, S/N;;;;;NAO_ENCONTRADO;87;5311;1.64;16;547;10.15;REDUTO BAIXO
MACEIO;MARCELO BARBOSA DE LIMA;REPUBLICANOS;462;ESCOLA DE ENSINO FUNDAMENTAL DR JOSE HAROLDO DA COSTA;CONJ. SALVADOR LIRA, S/N;;;;;NAO_ENCONTRADO;34;922;3.69;15;412;10.06;REDUTO BAIXO
ARAPIRACA;JACONIAS FERREIRA FREIRE;REPUBLICANOS;463;GRUPO ESCOLAR 31 DE MARÇO;RUA BRASILIA S/N;-9.7567015;-36.6527243;Brasília;;ENCONTRADO;7;60;11.67;6;51;10.04;REDUTO BAIXO
ARAPIRACA;JOSE LUCIO DE SOUSA;PMB;464;ESCOLA DE 1 GRAU MANOEL LUCIO DA SILVA;RUA MANOEL LÚCIO S/N;-9.7464382;-36.6524184;Alto do Cruzeiro;;ENCONTRADO;39;654;5.96;12;283;10.04;REDUTO BAIXO
ARAPIRACA;JOSE WELLISON DE LIMA LIRA;PSOL;465;GRUPO ESCOLAR JOÃO BATISTA PEREIRA;COHAB NOVA S/N;;;;;NAO_ENCONTRADO;4;30;13.33;4;29;10.01;REDUTO BAIXO
MACEIO;GALBA NOVAIS DE CASTRO NETTO;PL;466;ESCOLA ESTADUAL PADRE CABRAL;PRACA EDUARDO SANTOS, S/N;-9.590352;-35.783877;Fernão Velho;;ENCONTRADO;305;14023;2.17;8;548;9.99;REDUTO BAIXO
MACEIO;MILLEVAN DE GUSMAO CAVALCANTI;CIDADANIA;467;ESCOLA ESTADUAL PROF. REMI LIMA;RUA SAO JOSE, S/N;-9.6364716;-35.7291049;Pitanguinha;;ENCONTRADO;5;38;13.16;4;36;9.93;REDUTO BAIXO
SAO MIGUEL DOS CAMPOS;JOSÉ ELIAS AMORIM DOS SANTOS;PRD;468;ESCOLA DE ENSINO SUPERIOR DE SAO MIGUEL DOS CAMPOS;PRACA SENHORA DOS PRAZERES, SN;;;;;NAO_ENCONTRADO;6;43;13.95;3;35;9.93;REDUTO BAIXO
ARAPIRACA;MARCUS FABIANO MATOS BARBOZA;PP;469;ESCOLA DE 1 GRAU PROFESSOR JAYME DE ALTAVILLA;RUA SANTOS DUMONT, 623;-9.7498653;-36.6655146;Centro;;ENCONTRADO;139;2260;6.15;8;361;9.77;REDUTO BAIXO
MACEIO;JOÃO EUDES FERREIRA CAVALCANTE;CIDADANIA;470;COLÉGIO BRASIL (ANTIGO ISAAC NEWTON);RUA FERNANDO MENDES PINTO, N 11;;;;;NAO_ENCONTRADO;6;47;12.77;4;43;9.71;REDUTO BAIXO
RIO LARGO;EFRAIN VERÇOLINO DA SILVA;AVANTE;471;GRUPO ESCOLAR OZORIA MOURA DE LIMA;RUA  ANTONIO ELIAS CALHEIROS S/N;;;;;NAO_ENCONTRADO;118;1313;8.99;5;192;9.68;REDUTO BAIXO
ARAPIRACA;ROBSON FERREIRA FERRO;SOLIDARIEDADE;472;ESCOLA DE ENSINO FUNDAMENTAL ZÉLIA BARBOSA ROCHA;RUA DJALMA M. SANTANA;;;;;NAO_ENCONTRADO;8;68;11.76;5;61;9.62;REDUTO BAIXO
ARAPIRACA;TULIO SAMPAIO FREIRE;SOLIDARIEDADE;473;ESCOLA DE ENSINO FUNDAMENTAL ZÉLIA BARBOSA ROCHA;RUA DJALMA M. SANTANA;;;;;NAO_ENCONTRADO;123;1956;6.29;8;359;9.6;REDUTO BAIXO
MARECHAL DEODORO;MARCELO CALDAS NUNES;PL;474;ESCOLA MUNICIPAL CARLOS AVELINO DA SILVA;RES MARIA GISLENE MATHEUS, S/N;;;;;NAO_ENCONTRADO;67;727;9.22;6;132;9.51;REDUTO BAIXO
ARAPIRACA;BRUNO EUCLIDES DOS SANTOS OLIVEIRA;PT;475;ESCOLA ENSINO FUNDAMENTAL DIVALDO SURUAGY;RUA ADERVAL INÁCIO DA SILVA, 45, BRASÍLIA, ARAPIRACA;-9.7523022;-36.6444312;Brasília;;ENCONTRADO;17;214;7.94;9;149;9.42;REDUTO BAIXO
ARAPIRACA;MARÍLIA ALMEIDA DE ALBUQUERQUE MELO;PT;476;COLÉGIO SÃO FRANCISCO DE ASSIS;RUA DOM FELÍCIO DE VASCONCELOS S/N;-9.7445436;-36.659204;Senador Teotônio Vilela;;ENCONTRADO;75;1660;4.52;11;363;9.25;REDUTO BAIXO
MACEIO;REGIANE GONÇALVES DE LIMA MANSO;REPUBLICANOS;477;CEAGB - ESCOLA ESTADUAL MOREIRA E SILVA;AV. FERNANDES LIMA, S/N;-9.6219993;-35.7387664;Gruta de Lourdes;;ENCONTRADO;18;412;4.37;13;259;9.25;REDUTO BAIXO
ARAPIRACA;ALTAMIRES ALVES DA SILVA;REPUBLICANOS;478;ESCOLA PEDRO SURUAGY;RUA NOSSA SENHORA DA SALETE S/N;-9.7509333;-36.6431771;Itapoã;;ENCONTRADO;52;648;8.02;7;281;9.04;REDUTO BAIXO
ARAPIRACA;GIVALDO DUARTE DE ASSIS;PL;479;ESCOLA DE ENSINO FUNDAMENTAL MANOEL HUMBERTO DA COSTA;SÍTIO BATINGAS;;;;;NAO_ENCONTRADO;80;1747;4.58;10;359;8.88;REDUTO BAIXO
ARAPIRACA;DANIEL VIEIRA DA SILVA;PT;480;ESCOLA ENSINO FUNDAMENTAL DIVALDO SURUAGY;RUA ADERVAL INÁCIO DA SILVA, 45, BRASÍLIA, ARAPIRACA;-9.7523022;-36.6444312;Brasília;;ENCONTRADO;10;114;8.77;7;88;8.83;REDUTO BAIXO
RIO LARGO;WYRACIELLY GABRIELE FIRMINO PEREIRA;PL;481;ESCOLA MUNICIPAL DR. GUSTAVO PAIVA;CJ BARNABÉ OITICICA II, SN, MATA DO ROLO;;;;;NAO_ENCONTRADO;12;153;7.84;8;99;8.79;REDUTO BAIXO
ARAPIRACA;JOSE CICERO DA CONCEICAO SANTOS;PMB;482;GRUPO ESCOLAR JOÃO BATISTA PEREIRA;COHAB NOVA S/N;;;;;NAO_ENCONTRADO;34;478;7.11;8;231;8.7;REDUTO BAIXO
MACEIO;GERALDO LIMEIRA MARTINS JÚNIOR;REPUBLICANOS;483;E.E. PASTOR JOSE TAVARES DE SOUZA;AV. GARCA TORTA, 1286;-9.5478865;-35.7196043;Benedito Bentes;;ENCONTRADO;15;181;8.29;7;125;8.62;REDUTO BAIXO
MACEIO;EDLA DAYANE VIANA VALENÇA ROSA;REPUBLICANOS;484;ESCOLA ESTADUAL PROFª. MARIA SALETE GUSMAO DE ARAUJO;CJ. OSMAN LOUREIRO, QD A;;;;;NAO_ENCONTRADO;12;132;9.09;6;105;8.57;REDUTO BAIXO
MACEIO;CARLOS ALBERTO BARROS;REPUBLICANOS;485;COLÉGIO EDSON MONTEIRO;RUA ANDRÉ PAPINE GOES, 177, LOTEAMENTO ACAUÃ;;;;;NAO_ENCONTRADO;11;111;9.91;5;94;8.56;REDUTO BAIXO
ARAPIRACA;SIDNEY VIEIRA BARBOSA;REPUBLICANOS;486;ESCOLA DE ENSINO FUNDAMENTAL ENÉAS BENEDITO DOS SANTOS;POVOADO CANGANDU S/N;;;;;NAO_ENCONTRADO;21;332;6.33;9;204;8.52;REDUTO BAIXO
ARAPIRACA;MARIA VITÓRIA DOS SANTOS;PMB;487;GRUPO ESCOLAR ADRIANO JORGE;AV. RIO BRANCO S/N;-9.7528354;-36.6609557;Centro;;ENCONTRADO;4;35;11.43;3;29;8.38;REDUTO BAIXO
ARAPIRACA;GERALDO JOSE DA SILVA;PSDB;488;ESCOLA DE ENSINO FUNDAMENTAL PONTES DE MIRANDA;RUA LINO ROBERTO;-9.7361389;-36.6598115;Santa Edwiges;;ENCONTRADO;4;33;12.12;2;30;8.31;REDUTO BAIXO
ARAPIRACA;ELVYS MENESES MIRANDA;PMB;489;ESCOLA PEDRO SURUAGY;RUA NOSSA SENHORA DA SALETE S/N;-9.7509333;-36.6431771;Itapoã;;ENCONTRADO;23;278;8.27;6;162;8.25;REDUTO BAIXO
MACEIO;ROBERTO DOS SANTOS ALMEIDA;REPUBLICANOS;490;ESCOLA SEB (ANTIGO COC);RUA SENADOR RUI PALMEIRA, 1200;-9.6579315;-35.7095681;Ponta Verde;;ENCONTRADO;6;63;9.52;5;58;8.25;REDUTO BAIXO
