municipio;vereador;partido;ranking_reduto_geral;local_principal;endereco_local_principal;latitude;longitude;bairro;distrito;status_geocodificacao;votos_local_principal;votos_totais_vereador;percentual_local_principal;qtd_secoes_controladas;total_secoes_vereador;indice_reduto;classificacao_reduto
ARAPIRACA;FRANCISCA JOSEFA DA SILVA;PT;183;ESCOLA DE 1 GRAU ARTUR RAMOS;RUA COSTA CAVALCANTE, S/N;-9.7394987;-36.6757491;Cavaco;;ENCONTRADO;7;26;26.92;6;24;19.19;REDUTO BAIXO
CORURIPE;MARIA CONCEIÇÃO LOPES DOS SANTOS;SOLIDARIEDADE;184;ESCOLA MUN. CENT. EDUCAÇÃO INFANTIL PROF. MARIA ZENAIDE ROCHA SANTOS;RUA PERNAMBUCO NOVO, S/N,;;;;;NAO_ENCONTRADO;5;18;27.78;5;16;19.19;REDUTO BAIXO
PALMEIRA DOS INDIOS;ROSSANA ANDREIA ALVES DE MELO;PDT;185;ESCOLA MUNICIPAL MARCELO MINERVO DOS SANTOS PIMENTEL;AV GRACILIANO RAMOS, 246;-9.4104826;-36.6268719;São Luiz;;ENCONTRADO;5;17;29.41;3;14;19.19;REDUTO BAIXO
PENEDO;RICARDO FAUSTINO DA SILVA;PP;186;EMEB HANNA BERTHOLET;POVOADO SANTA MARGARIDA;;;;;NAO_ENCONTRADO;39;145;26.9;5;75;19.19;REDUTO BAIXO
UNIAO DOS PALMARES;EVERALDO FERREIRA DOS SANTOS;PT;187;ESCOLA ESTADUAL ROCHA CAVALCANTE;RUA CORREIA DE OLIVEIRA 200;-9.1588289;-36.0341446;União dos Palmares;;ENCONTRADO;7;26;26.92;6;21;19.19;REDUTO BAIXO
CORURIPE;JOSE ROBERTO NUNES DOS SANTOS;CIDADANIA;188;ESCOLA ESTADUAL DJALMA BARROS SIQUEIRA;RUA PERNAMBUCO NOVO, S/N;;;;;NAO_ENCONTRADO;47;224;20.98;12;79;19.18;REDUTO BAIXO
SAO MIGUEL DOS CAMPOS;ROBSON ALFREDO DA SILVA MOURA;MDB;189;ESCOLA MUNICIPAL DESEMBARGADOR JOSE FERNANDO LIMA SOUZA;RODOVIA BR 101, KM 69;-9.741431;-36.0611185;São Miguel dos Campos;;ENCONTRADO;213;1435;14.84;14;137;19.07;REDUTO BAIXO
RIO LARGO;ALEF FERNANDO MARQUES MENEZES;REPUBLICANOS;190;ESCOLA DE ENS FUND PROFESSORA EVANDA CARNEIRO DE VASCONCELOS;RUA SAO PEDRO S/N;-9.4784995;-35.8366035;Mata do Rolo;;ENCONTRADO;3;10;30.0;2;8;19.02;REDUTO BAIXO
UNIAO DOS PALMARES;MARCOS CORREIA LEITE;PDT;191;ESCOLA ESTADUAL CARLOS GOMES DE BARROS;AV. JOÃO LYRA FILHO, S/N;;;;;NAO_ENCONTRADO;150;1015;14.78;16;141;19.02;REDUTO BAIXO
UNIAO DOS PALMARES;ANTÔNIO MARCOS BRASIL DA SILVA;PSD;192;ESCOLA MUNICIPAL JOÃO COSTA DE OLIVEIRA;QUADRA P1, S/N;;;;;NAO_ENCONTRADO;7;25;28.0;4;20;18.86;REDUTO BAIXO
CORURIPE;JOSÉ ANDERSON DE LIMA SANTOS;PSB;193;ESCOLA ESTADUAL DJALMA BARROS SIQUEIRA;RUA PERNAMBUCO NOVO, S/N;;;;;NAO_ENCONTRADO;146;830;17.59;12;119;18.7;REDUTO BAIXO
