municipio,local_nao_georreferenciado,local_nao_georreferenciado_normalizado,qtd_registros_afetados,melhor_correspondencia_georreferenciada,score_similaridade,status_match,latitude_sugerida,longitude_sugerida,qtd_registros_do_local_sugerido
RIO LARGO,ESCOLA DE EDUCAÇÃO BÁSICA AGNUS DEI,ESCOLA DE EDUCACAO BASICA AGNUS DEI,243,ESCOLA MUNICIPAL DE EDUCACAO BASICA D PEDRO I,0.725,SEM_MATCH,-9.5105587,-35.8093743,376
MACEIO,E.M. MARIA CARMELITA CARDOSO GAMA (CAIC-UFAL),ESCOLA MUNICIPAL MARIA CARMELITA CARDOSO GAMA CAIC UFAL,241,E.M. MARIA CECILIA PONTES CARNAÚBA,0.6733,SEM_MATCH,-9.5790961,-35.7376472,201
RIO LARGO,ESCOLA MUNICIPAL TERESA CRISTINA LINS DE SOUZA COSTA,ESCOLA MUNICIPAL TERESA CRISTINA LINS DE SOUZA COSTA,240,ESCOLA MUNICIPAL DE EDUCACAO BASICA D PEDRO I,0.4948,SEM_MATCH,-9.5105587,-35.8093743,376
MACEIO,ESC. MUN. DR. BALTAZAR DE MENDONÇA,ESCOLA MUNICIPAL DOUTOR BALTAZAR DE MENDONCA,239,ESCOLA MUNICIPAL TEREZA DE JESUS,0.6842,SEM_MATCH,-9.6701618,-35.7460477,146
PENEDO,COLÉGIO DIOCESANO DE PENEDO,COLEGIO DIOCESANO DE PENEDO,238,SESI - SENAI / UNIDADE PENEDO,0.5,SEM_MATCH,-10.2822946,-36.5653561,219
RIO LARGO,ESCOLA MUNICIPAL DE EDUCAÇÃO BASICA INDUSTRIAL LUIGI BAUDUCCO,ESCOLA MUNICIPAL DE EDUCACAO BASICA INDUSTRIAL LUIGI BAUDUCCO,236,ESCOLA MUNICIPAL DE EDUCACAO BASICA D PEDRO I,0.6981,SEM_MATCH,-9.5105587,-35.8093743,376
PENEDO,ESCOLA MUNICIPAL VEREADOR MANOEL SOARES DE MELO,ESCOLA MUNICIPAL VEREADOR MANOEL SOARES DE MELO,236,ESCOLA ESTADUAL JOÃO VALERIANO DE OLIVEIRA,0.4944,SEM_MATCH,-10.2733024,-36.5601197,113
PALMEIRA DOS INDIOS,FACULDADE CESMAC DO SERTÃO,FACULDADE CESMAC DO SERTAO,234,ESCOLA DE 1 GRAU ESTADO DE NOVA GERSEY,0.375,SEM_MATCH,-9.4134008,-36.6281836,180
MACEIO,E.E. PROFA. GILVANA ATAÍDE CAVALCANTE CABRAL,ESCOLA ESTADUAL PROFESSORA GILVANA ATAIDE CAVALCANTE CABRAL,234,ESC. EST. PROF. CARLOS POVINA CAVALCANTE,0.7523,MATCH_FRACO,-9.5529152,-35.7898724,76
SAO MIGUEL DOS CAMPOS,ESCOLA MUNICIPAL PROFESSORA INEIDE NOGUEIRA ROCHA,ESCOLA MUNICIPAL PROFESSORA INEIDE NOGUEIRA ROCHA,231,ESCOLA MUNICIPAL PROFESSORA NOEMIA BASTOS,0.7778,MATCH_FRACO,-9.7832594,-36.0919014,98
RIO LARGO,ESCOLA DE ENSINO FUNDAMENTAL MARIETA LEÃO,ESCOLA DE ENSINO FUNDAMENTAL MARIETA LEAO,229,ESCOLA DE ENS FUND PROFESSORA EVANDA CARNEIRO DE VASCONCELOS,0.6486,SEM_MATCH,-9.4784995,-35.8366035,254
PENEDO,ESCOLA ESTADUAL PROFESSOR ERNANI MÉRO (GRUPO ESCOLAR EXPERIMENTAL),ESCOLA ESTADUAL PROFESSOR ERNANI MERO GRUPO ESCOLAR EXPERIMENTAL,227,ESCOLA ESTADUAL JOÃO VALERIANO DE OLIVEIRA,0.4906,SEM_MATCH,-10.2733024,-36.5601197,113
MACEIO,ESC. MUN. DR. ORLANDO ARAÚJO,ESCOLA MUNICIPAL DOUTOR ORLANDO ARAUJO,226,E.M. DOUTORA NISE DA SILVEIRA,0.6835,SEM_MATCH,-9.5790961,-35.7376472,199
SAO MIGUEL DOS CAMPOS,ESCOLA MUNICIPAL MARIO SOARES PALMEIRA,ESCOLA MUNICIPAL MARIO SOARES PALMEIRA,225,ESCOLA MUNICIPAL RUI PALMEIRA,0.8358,MATCH_FRACO,-9.7817352,-36.103011,247
RIO LARGO,ESCOLA DE ENSINO FUND PROF ROSINEIDE TEREZA MARTINS DA CONCEIÇÃO,ESCOLA DE ENSINO FUNDAMENTAL PROFESSOR ROSINEIDE TEREZA MARTINS DA CONCEICAO,223,ESCOLA DE ENS FUND PROFESSORA EVANDA CARNEIRO DE VASCONCELOS,0.7397,SEM_MATCH,-9.4784995,-35.8366035,254
RIO LARGO,GRUPO ESCOLAR MANOEL SOARES DE SOUZA,GRUPO ESCOLAR MANOEL SOARES DE SOUZA,218,GRUPO ESCOLAR DERALDO CAMPOS,0.5625,SEM_MATCH,-9.4855066,-35.8566295,88
