municipio,local_sem_geo,local_sem_geo_normalizado,registros_afetados,melhor_local_cache,melhor_endereco_cache,score_similaridade,status_match,latitude_sugerida,longitude_sugerida
MACEIO,ESC. MUN. ANTÔNIO SEMEÃO LAMENHA LINS,ESCOLA MUNICIPAL ANTONIO SEMEAO LAMENHA LINS,247,ESC. MUN. ANTONIO SEMEAO LAMENHA LINS,"RUA MAJOR JOAQUIM CALHEIROS, S/N",1.0,MATCH_FORTE,,
MACEIO,E.M. PROF. AURÉLIO BUARQUE DE HOLANDA FERREIRA,ESCOLA MUNICIPAL PROFESSOR AURELIO BUARQUE DE HOLANDA FERREIRA,246,E.M. PROF. AURELIO BUARQUE DE HOLANDA FERREIRA,"RUA F, S/N, CONJUNTO FREITAS NETO",1.0,MATCH_FORTE,,
MACEIO,ESC. EST. MANOEL SIMPLICIO DO NASCIMENTO,ESCOLA ESTADUAL MANOEL SIMPLICIO DO NASCIMENTO,244,ESC. EST. MANOEL SIMPLICIO DO NASCIMENTO,"RUA DIVISORIA FEICAO, S/N",1.0,MATCH_FORTE,,
RIO LARGO,ESCOLA DE EDUCAÇÃO BÁSICA AGNUS DEI,ESCOLA DE EDUCACAO BASICA AGNUS DEI,243,ESCOLA DE EDUCACAO BASICA AGNUS DEI,"AV. PRESIDENTE FERNANDO A. COLLO DE MELO,96, ANTONIO LINS DE SOUZA",1.0,MATCH_FORTE,,
MACEIO,E.M. MARIA CARMELITA CARDOSO GAMA (CAIC-UFAL),ESCOLA MUNICIPAL MARIA CARMELITA CARDOSO GAMA CAIC UFAL,241,E.M. MARIA CARMELITA CARDOSO GAMA (CAIC-UFAL),"BR 104, 1099 KM 14 - CAMPUS A.C.SIMOES",1.0,MATCH_FORTE,,
RIO LARGO,ESCOLA MUNICIPAL TERESA CRISTINA LINS DE SOUZA COSTA,ESCOLA MUNICIPAL TERESA CRISTINA LINS DE SOUZA COSTA,240,ESCOLA MUNICIPAL TERESA CRISTINA LINS DE SOUZA COSTA,"CJ RES. FRANCISCO TAVARES GRANJA, S/N",1.0,MATCH_FORTE,,
MACEIO,ESC. MUN. DR. BALTAZAR DE MENDONÇA,ESCOLA MUNICIPAL DOUTOR BALTAZAR DE MENDONCA,239,ESC. MUN. DR. BALTAZAR DE MENDONCA,"RUA DIVISORIA FEICAO, S/N",1.0,MATCH_FORTE,,
PENEDO,COLÉGIO DIOCESANO DE PENEDO,COLEGIO DIOCESANO DE PENEDO,238,COLEGIO DIOCESANO DE PENEDO,"PCA. LARGO DE FATIMA, PX. A 9A. COORDENADORIA DE ENSINO DE ALAGOAS",1.0,MATCH_FORTE,,
RIO LARGO,ESCOLA MUNICIPAL DE EDUCAÇÃO BASICA INDUSTRIAL LUIGI BAUDUCCO,ESCOLA MUNICIPAL DE EDUCACAO BASICA INDUSTRIAL LUIGI BAUDUCCO,236,ESCOLA MUNICIPAL DE EDUCACAO BASICA INDUSTRIAL LUIGI BAUDUCCO,"AVENIDA PASTOR JOSUE LINS CONJUNTO CRUZEIRO DO SUL, C RESIDENCIAL",1.0,MATCH_FORTE,,
PENEDO,ESCOLA MUNICIPAL VEREADOR MANOEL SOARES DE MELO,ESCOLA MUNICIPAL VEREADOR MANOEL SOARES DE MELO,236,ESCOLA MUNICIPAL VEREADOR MANOEL SOARES DE MELO,"RUA FLORIANO ROSA, S/N, PX. AO POSTO DE SAUDE, CONJUNTO VILA MATIAS",1.0,MATCH_FORTE,,
PALMEIRA DOS INDIOS,FACULDADE CESMAC DO SERTÃO,FACULDADE CESMAC DO SERTAO,234,FACULDADE CESMAC DO SERTAO,"RUA BRAULIO MONTENEGRO, S/N, VILA MARIA",1.0,MATCH_FORTE,,
MACEIO,E.E. PROFA. GILVANA ATAÍDE CAVALCANTE CABRAL,ESCOLA ESTADUAL PROFESSORA GILVANA ATAIDE CAVALCANTE CABRAL,234,E.E. PROFA. GILVANA ATAIDE CAVALCANTE CABRAL,"RUA ELINELMA DE OLIVEIRA SANTOS, S/N",1.0,MATCH_FORTE,,
