_municipio_norm,_local_norm,municipio,local_votacao,qtd_registros_afetados
RIO LARGO,ESCOLA DE ENSINO FUNDAMENTAL DOUTOR GASTAO OITICICA,RIO LARGO,ESCOLA DE ENSINO FUND DR GASTAO OITICICA,282
ARAPIRACA,ESCOLA DE ENSINO FUNDAMENTAL LOJA MACONICA,ARAPIRACA,ESCOLA DE ENSINO FUNDAMENTAL LOJA MAÇONICA,281
ARAPIRACA,GRUPO ESCOLAR PEDRO CORREIA DAS GRACAS,ARAPIRACA,GRUPO ESCOLAR PEDRO CORREIA DAS GRAÇAS,279
MACEIO,ESCOLA MUNICIPAL ARNON AFFONSO FARIAS DE MELLO,MACEIO,ESC. MUN. ARNON AFFONSO FARIAS DE MELLO,275
MACEIO,COLEGIO MARIA MONTESSORI,MACEIO,COLÉGIO MARIA MONTESSORI,274
CORURIPE,ESCOLA ESTADUAL LIMA CASTRO,CORURIPE,ESCOLA ESTADUAL LIMA CASTRO,273
MACEIO,COLEGIO SANTISSIMO SENHOR,MACEIO,COLÉGIO SANTÍSSIMO SENHOR,271
MACEIO,ESCOLA ESTADUAL PROFESSOR EDUARDO DA MOTA TRIGUEIROS,MACEIO,ESC. EST. PROF. EDUARDO DA MOTA TRIGUEIROS,270
UNIAO DOS PALMARES,ESCOLA MUNICIPAL JOAO COSTA DE OLIVEIRA,UNIAO DOS PALMARES,ESCOLA MUNICIPAL JOÃO COSTA DE OLIVEIRA,267
ARAPIRACA,ESCOLA PROFESSOR LUIZ ALBERTO DE MELO,ARAPIRACA,ESCOLA PROFESSOR LUIZ ALBERTO DE MELO,264
ARAPIRACA,GRUPO ESCOLAR DOMINGOS LOPES,ARAPIRACA,GRUPO ESCOLAR DOMINGOS LOPES,260
MACEIO,ESCOLA ESTADUAL PROFESSOR PEDRO TEIXEIRA,MACEIO,ESCOLA ESTADUAL PROFESSOR PEDRO TEIXEIRA,259
MACEIO,ESCOLA MUNICIPAL PROF EULINA RIBEIRO ALENCAR,MACEIO,ESC. MUN. PROFª EULINA RIBEIRO ALENCAR,259
MACEIO,ESCOLA ESTADUAL JORNALISTA LAFAIETTE BELO,MACEIO,E.E. JORNALISTA LAFAIETTE BELO,259
ARAPIRACA,GRUPO ESCOLAR JOSE PEREIRA LUCIO,ARAPIRACA,GRUPO ESCOLAR JOSE PEREIRA LÚCIO,252
MACEIO,ESCOLA MONTEIRO LOBATO,MACEIO,ESCOLA MONTEIRO LOBATO,250
CORURIPE,ESCOLA ESTADUAL DJALMA BARROS SIQUEIRA,CORURIPE,ESCOLA ESTADUAL DJALMA BARROS SIQUEIRA,249
MACEIO,ESCOLA DE ENSINO FUNDAMENTAL PROFESSOR DONIZETTI CALHEIROS,MACEIO,ESCOLA DE ENSINO FUNDAMENTAL PROF. DONIZETTI CALHEIROS,249
MACEIO,ESCOLA MUNICIPAL ANTONIO SEMEAO LAMENHA LINS,MACEIO,ESC. MUN. ANTÔNIO SEMEÃO LAMENHA LINS,247
MACEIO,ESCOLA MUNICIPAL PROFESSOR AURELIO BUARQUE DE HOLANDA FERREIRA,MACEIO,E.M. PROF. AURÉLIO BUARQUE DE HOLANDA FERREIRA,246
MACEIO,ESCOLA ESTADUAL MANOEL SIMPLICIO DO NASCIMENTO,MACEIO,ESC. EST. MANOEL SIMPLICIO DO NASCIMENTO,244
RIO LARGO,ESCOLA DE EDUCACAO BASICA AGNUS DEI,RIO LARGO,ESCOLA DE EDUCAÇÃO BÁSICA AGNUS DEI,243
MACEIO,ESCOLA MUNICIPAL MARIA CARMELITA CARDOSO GAMA CAIC UFAL,MACEIO,E.M. MARIA CARMELITA CARDOSO GAMA (CAIC-UFAL),241
RIO LARGO,ESCOLA MUNICIPAL TERESA CRISTINA LINS DE SOUZA COSTA,RIO LARGO,ESCOLA MUNICIPAL TERESA CRISTINA LINS DE SOUZA COSTA,240
MACEIO,ESCOLA MUNICIPAL DOUTOR BALTAZAR DE MENDONCA,MACEIO,ESC. MUN. DR. BALTAZAR DE MENDONÇA,239
PENEDO,COLEGIO DIOCESANO DE PENEDO,PENEDO,COLÉGIO DIOCESANO DE PENEDO,238
RIO LARGO,ESCOLA MUNICIPAL DE EDUCACAO BASICA INDUSTRIAL LUIGI BAUDUCCO,RIO LARGO,ESCOLA MUNICIPAL DE EDUCAÇÃO BASICA INDUSTRIAL LUIGI BAUDUCCO,236
PENEDO,ESCOLA MUNICIPAL VEREADOR MANOEL SOARES DE MELO,PENEDO,ESCOLA MUNICIPAL VEREADOR MANOEL SOARES DE MELO,236
